,track_name,artist,album,release_date,explicit,track_id,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
21,Audacity (feat. Headie One),Stormzy,Audacity (feat. Headie One),2019-12-11,True,3WcGdhN6wvGplwVyixNgfI,spotify:track:3WcGdhN6wvGplwVyixNgfI,0.678,0.516,1,-4.601,1,0.444,0.0523,0.0,0.13,0.11,133.939,audio_features,3WcGdhN6wvGplwVyixNgfI,spotify:track:3WcGdhN6wvGplwVyixNgfI,https://api.spotify.com/v1/tracks/3WcGdhN6wvGplwVyixNgfI,https://api.spotify.com/v1/audio-analysis/3WcGdhN6wvGplwVyixNgfI,245920,4
22,Up All Night,Khalid,Up All Night,2019-11-14,False,1mpD5Q8IM32I4bF6eCpU74,spotify:track:1mpD5Q8IM32I4bF6eCpU74,0.665,0.712,1,-7.536,1,0.0527,0.00103,0.00342,0.102,0.669,93.989,audio_features,1mpD5Q8IM32I4bF6eCpU74,spotify:track:1mpD5Q8IM32I4bF6eCpU74,https://api.spotify.com/v1/tracks/1mpD5Q8IM32I4bF6eCpU74,https://api.spotify.com/v1/audio-analysis/1mpD5Q8IM32I4bF6eCpU74,157220,4
23,Blinding Lights,The Weeknd,Blinding Lights,2019-11-29,False,0sf12qNH5qcw8qpgymFOqD,spotify:track:0sf12qNH5qcw8qpgymFOqD,0.513,0.796,1,-4.075,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,audio_features,0sf12qNH5qcw8qpgymFOqD,spotify:track:0sf12qNH5qcw8qpgymFOqD,https://api.spotify.com/v1/tracks/0sf12qNH5qcw8qpgymFOqD,https://api.spotify.com/v1/audio-analysis/0sf12qNH5qcw8qpgymFOqD,201573,4
24,Must Be,J Hus,Must Be,2019-11-08,True,2n1oPHJVMPWJkjgHwVcksY,spotify:track:2n1oPHJVMPWJkjgHwVcksY,0.544,0.677,6,-5.011,1,0.342,0.0251,6.93e-06,0.241,0.601,90.701,audio_features,2n1oPHJVMPWJkjgHwVcksY,spotify:track:2n1oPHJVMPWJkjgHwVcksY,https://api.spotify.com/v1/tracks/2n1oPHJVMPWJkjgHwVcksY,https://api.spotify.com/v1/audio-analysis/2n1oPHJVMPWJkjgHwVcksY,207975,4
25,Better Half of Me,Tom Walker,What a Time To Be Alive (Deluxe Edition),2019-11-08,False,4VPlKUSjC9HdZdUbFZ0Y5y,spotify:track:4VPlKUSjC9HdZdUbFZ0Y5y,0.586,0.447,3,-4.699,1,0.0287,0.816,0.0,0.277,0.441,107.851,audio_features,4VPlKUSjC9HdZdUbFZ0Y5y,spotify:track:4VPlKUSjC9HdZdUbFZ0Y5y,https://api.spotify.com/v1/tracks/4VPlKUSjC9HdZdUbFZ0Y5y,https://api.spotify.com/v1/audio-analysis/4VPlKUSjC9HdZdUbFZ0Y5y,195452,4
26,Rare,Selena Gomez,Rare,2020-01-10,False,7HMmFQsKsljwTw8bS7lu19,spotify:track:7HMmFQsKsljwTw8bS7lu19,0.84,0.543,5,-6.655,1,0.0792,0.205,4.45e-05,0.118,0.607,114.968,audio_features,7HMmFQsKsljwTw8bS7lu19,spotify:track:7HMmFQsKsljwTw8bS7lu19,https://api.spotify.com/v1/tracks/7HMmFQsKsljwTw8bS7lu19,https://api.spotify.com/v1/audio-analysis/7HMmFQsKsljwTw8bS7lu19,220590,4
27,We Got Love,Sigala,We Got Love,2019-11-01,False,35mMXfym6C9VOTUVrcKKZp,spotify:track:35mMXfym6C9VOTUVrcKKZp,0.722,0.812,9,-3.352,0,0.0924,0.0205,2.51e-05,0.131,0.657,124.909,audio_features,35mMXfym6C9VOTUVrcKKZp,spotify:track:35mMXfym6C9VOTUVrcKKZp,https://api.spotify.com/v1/tracks/35mMXfym6C9VOTUVrcKKZp,https://api.spotify.com/v1/audio-analysis/35mMXfym6C9VOTUVrcKKZp,213041,4
28,Be Honest (feat. Burna Boy),Jorja Smith,Be Honest (feat. Burna Boy),2019-08-16,False,5pAbCxt9e3f81lOmjIXwzd,spotify:track:5pAbCxt9e3f81lOmjIXwzd,0.757,0.737,4,-6.728,0,0.114,0.311,0.0,0.113,0.635,98.057,audio_features,5pAbCxt9e3f81lOmjIXwzd,spotify:track:5pAbCxt9e3f81lOmjIXwzd,https://api.spotify.com/v1/tracks/5pAbCxt9e3f81lOmjIXwzd,https://api.spotify.com/v1/audio-analysis/5pAbCxt9e3f81lOmjIXwzd,207031,4
29,The Last Time,The Script,The Last Time,2019-09-20,False,1maoY6K6fsTEv9fhXhBL14,spotify:track:1maoY6K6fsTEv9fhXhBL14,0.508,0.744,5,-3.421,1,0.0356,0.0567,0.0,0.193,0.129,132.067,audio_features,1maoY6K6fsTEv9fhXhBL14,spotify:track:1maoY6K6fsTEv9fhXhBL14,https://api.spotify.com/v1/tracks/1maoY6K6fsTEv9fhXhBL14,https://api.spotify.com/v1/audio-analysis/1maoY6K6fsTEv9fhXhBL14,196366,4
30,Netflix & Chill,Fredo,Netflix & Chill,2019-11-08,True,31m40qBxoj4iMSnQLkq8nP,spotify:track:31m40qBxoj4iMSnQLkq8nP,0.859,0.619,6,-9.434,1,0.121,0.137,0.0,0.0933,0.631,132.01,audio_features,31m40qBxoj4iMSnQLkq8nP,spotify:track:31m40qBxoj4iMSnQLkq8nP,https://api.spotify.com/v1/tracks/31m40qBxoj4iMSnQLkq8nP,https://api.spotify.com/v1/audio-analysis/31m40qBxoj4iMSnQLkq8nP,221818,4
31,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,Good as Hell (feat. Ariana Grande) [Remix],2019-10-25,False,07Oz5StQ7GRoygNLaXs2pd,spotify:track:07Oz5StQ7GRoygNLaXs2pd,0.668,0.892,5,-3.001,0,0.0645,0.298,0.0,0.735,0.478,95.927,audio_features,07Oz5StQ7GRoygNLaXs2pd,spotify:track:07Oz5StQ7GRoygNLaXs2pd,https://api.spotify.com/v1/tracks/07Oz5StQ7GRoygNLaXs2pd,https://api.spotify.com/v1/audio-analysis/07Oz5StQ7GRoygNLaXs2pd,159011,4
32,Don't Rush (feat. Headie One),Young T & Bugsey,Don't Rush (feat. Headie One),2019-11-07,True,0PXukVbYpvz40KcEFKnIw7,spotify:track:0PXukVbYpvz40KcEFKnIw7,0.961,0.461,9,-8.684,1,0.27,0.202,0.00402,0.162,0.324,108.028,audio_features,0PXukVbYpvz40KcEFKnIw7,spotify:track:0PXukVbYpvz40KcEFKnIw7,https://api.spotify.com/v1/tracks/0PXukVbYpvz40KcEFKnIw7,https://api.spotify.com/v1/audio-analysis/0PXukVbYpvz40KcEFKnIw7,207640,4
33,The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,2019-12-06,True,0nbXyq5TXYPCO7pr3N8S4I,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,audio_features,0nbXyq5TXYPCO7pr3N8S4I,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,https://api.spotify.com/v1/tracks/0nbXyq5TXYPCO7pr3N8S4I,https://api.spotify.com/v1/audio-analysis/0nbXyq5TXYPCO7pr3N8S4I,196653,4
34,Falling,Harry Styles,Fine Line,2019-12-13,False,1ZMiCix7XSAbfAJlEZWMCp,spotify:track:1ZMiCix7XSAbfAJlEZWMCp,0.567,0.267,4,-6.502,1,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,audio_features,1ZMiCix7XSAbfAJlEZWMCp,spotify:track:1ZMiCix7XSAbfAJlEZWMCp,https://api.spotify.com/v1/tracks/1ZMiCix7XSAbfAJlEZWMCp,https://api.spotify.com/v1/audio-analysis/1ZMiCix7XSAbfAJlEZWMCp,240133,4
35,Jerry Sprunger (with T-Pain),Tory Lanez,Jerry Sprunger (with T-Pain),2019-11-08,True,0mTKJnVf6GcujyDr1PZn0Q,spotify:track:0mTKJnVf6GcujyDr1PZn0Q,0.694,0.744,0,-5.334,0,0.297,0.144,0.0,0.0905,0.425,99.941,audio_features,0mTKJnVf6GcujyDr1PZn0Q,spotify:track:0mTKJnVf6GcujyDr1PZn0Q,https://api.spotify.com/v1/tracks/0mTKJnVf6GcujyDr1PZn0Q,https://api.spotify.com/v1/audio-analysis/0mTKJnVf6GcujyDr1PZn0Q,233546,4
36,Lessons,Stormzy,Heavy Is The Head,2019-12-13,True,5iVGN1Th2DqyWVNIBM8Vwk,spotify:track:5iVGN1Th2DqyWVNIBM8Vwk,0.637,0.509,9,-7.985,0,0.38,0.574,0.0,0.154,0.461,94.202,audio_features,5iVGN1Th2DqyWVNIBM8Vwk,spotify:track:5iVGN1Th2DqyWVNIBM8Vwk,https://api.spotify.com/v1/tracks/5iVGN1Th2DqyWVNIBM8Vwk,https://api.spotify.com/v1/audio-analysis/5iVGN1Th2DqyWVNIBM8Vwk,187933,4
37,Better Off Without You (feat. Shift K3Y),Becky Hill,Better Off Without You (feat. Shift K3Y),2020-01-10,False,3oIVK7arAFuUOCGafPLxSC,spotify:track:3oIVK7arAFuUOCGafPLxSC,0.682,0.855,7,-3.282,1,0.0401,0.0566,1e-06,0.101,0.304,124.004,audio_features,3oIVK7arAFuUOCGafPLxSC,spotify:track:3oIVK7arAFuUOCGafPLxSC,https://api.spotify.com/v1/tracks/3oIVK7arAFuUOCGafPLxSC,https://api.spotify.com/v1/audio-analysis/3oIVK7arAFuUOCGafPLxSC,198743,4
38,Floss (feat. MoStack & Not3s),AJ Tracey,AJ Tracey (Deluxe),2019-10-25,True,0LjXPuuttcYpND3IxAFww1,spotify:track:0LjXPuuttcYpND3IxAFww1,0.827,0.486,1,-10.023,1,0.367,0.0272,0.0,0.0502,0.3,104.92,audio_features,0LjXPuuttcYpND3IxAFww1,spotify:track:0LjXPuuttcYpND3IxAFww1,https://api.spotify.com/v1/tracks/0LjXPuuttcYpND3IxAFww1,https://api.spotify.com/v1/audio-analysis/0LjXPuuttcYpND3IxAFww1,182280,4
39,Tongue Tied (with YUNGBLUD & blackbear),Marshmello,Tongue Tied (with YUNGBLUD & blackbear),2019-11-13,True,7jzldCBnJjpJM3epzJ85KE,spotify:track:7jzldCBnJjpJM3epzJ85KE,0.628,0.821,1,-2.721,0,0.0525,0.0208,0.0,0.426,0.465,93.001,audio_features,7jzldCBnJjpJM3epzJ85KE,spotify:track:7jzldCBnJjpJM3epzJ85KE,https://api.spotify.com/v1/tracks/7jzldCBnJjpJM3epzJ85KE,https://api.spotify.com/v1/audio-analysis/7jzldCBnJjpJM3epzJ85KE,186024,4
