Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Cruising	Bitty McleaL								Lovers Rock	3672276	229			1			17/09/2018, 22:36	17/09/2018, 22:31	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Bitty McleaL:Unknown Album:01 Cruising.mp3
Baby Tonight	Bitty McLean	A. Reid/B. Davis/B. McLean/L. Paris	Lovers Vol 1						Lovers Rock	4364526	181			4		2006	16/01/2011, 00:48	17/09/2018, 22:31	192	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Various Artists:Lovers Vol 1:04 Baby Tonight.mp3
Dedicated To The One I Love	Bitty McLean	Lowman Pauling/Ralph Bass	Lovers Vol 1						Lovers Rock	3575523	223			4		2005	16/01/2011, 00:48	17/09/2018, 22:31	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Various Artists:Lovers Vol 1:04 Dedicated To The One I Love.mp3
Walk Away From Love	Bitty McLean	Kipps, C.H. Jr.	Lovers Vol 1						Lovers Rock	5263709	219			9		2004	17/09/2018, 22:37	17/09/2018, 22:31	191	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Various Artists:Lovers Vol 1:09 Walk Away From Love.mp3
Baby Tonight	Bitty McLean	A. Reid/B. Davis/B. McLean/L. Paris	On Bond Street						Lovers Rock	4364526	181			4		2006	17/09/2018, 22:31	17/09/2018, 22:31	192	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Various Artists:On Bond Street:04 Baby Tonight.mp3
Whats It All About	Black Harmony		Lovers Vol 1						Lovers Rock	4174161	259			10		1981	16/01/2011, 00:48	17/09/2018, 22:38	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Black Harmony:Lovers Vol 1:10 Whats It All About.mp3
Dont Let It Go To Your Head	Black Harmony	Kenny Gamble/Leon Huff	Lovers Vol 1						Lovers Rock	3064187	190			20		1979	16/01/2011, 00:48	17/09/2018, 22:38	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Soundtrack:Lovers Vol 1:20 Dont Let It Go To Your Head.mp3
Feel The Feelings	Bob Andy		Lovers Vol 1						Reggae	3626676	225			1		1983	17/09/2018, 23:44	17/09/2018, 22:38	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Bob Andy:Lovers Vol 1:01 Feel The Feelings.mp3
Life	Bob Andy		Revival						Reggae	3011005	248			2			17/06/2004, 13:08	17/09/2018, 22:38	96	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Bob Andy:Revival:02 Life.mp3
Make It With You	Bobbie Houston		silver box reggae1						Reggae	2824320	175			13			17/06/2004, 13:08	17/09/2018, 22:38	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Bobbie Houston:silver box reggae1:13 Make It With You.mp3
Jah Bring I Joy	Bobby Melody		silver box reggae1						Reggae	3774634	234			14		1976	17/06/2004, 13:08	17/09/2018, 22:38	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Bobby Melody:silver box reggae1:14 Jah Bring I Joy.mp3
I Want to Wake Up With You	Boris Gardiner	David	Lovers Vol 1						Lovers Rock	3869604	241			1		2004	16/01/2011, 00:48	17/09/2018, 22:38	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Boris Gardiner:Lovers Vol 1:01 I Want to Wake Up With You.mp3
Irresistable	Brian & Tony Gold		Lovers Vol 1						Lovers Rock	6038467	250			1		2002	16/01/2011, 00:48	17/09/2018, 22:38	192	44100		MPEG audio file		I LUB TEAM JAH						MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Brian & Tony Gold:Lovers Vol 1:01 Irresistable.mp3
I'm In Love With A Dreadlocks	Brown Sugar		Lovers Vol 1						Lovers Rock	3084249	191			5		1977	17/09/2018, 23:43	17/09/2018, 22:38	128	44100		MPEG audio file					1	17/09/2018, 23:42		MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Brown Sugar:Lovers Vol 1:05 I'm In Love With A Dreadlocks.mp3
Our Reggae Music	Brown Sugar		Lovers Vol 1						Lovers Rock	5948565	369			13		1979	16/01/2011, 00:48	17/09/2018, 22:38	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Brown Sugar:Lovers Vol 1:13 Our Reggae Music.mp3
Black Pride	Brown Sugar		Lovers Vol 1						Lovers Rock	3290679	204			15		1977	16/01/2011, 00:48	17/09/2018, 22:38	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Brown Sugar:Lovers Vol 1:15 Black Pride.mp3
Hello Stranger	Brown Sugar		Lovers Vol 1						Lovers Rock	3270199	202			17		1977	16/01/2011, 00:48	17/09/2018, 22:38	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Brown Sugar:Lovers Vol 1:17 Hello Stranger.mp3
Lady Of Magic	Bunny Maloney		Lovers Vol 1						Lovers Rock	5663141	351			9			16/01/2011, 00:48	17/09/2018, 22:38	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Bunny Maloney:Lovers Vol 1:09 Lady Of Magic.mp3
Baby I've Been Missing You 	Bunny Maloney		Lovers Vol 1						Lovers Rock	3978640	248			16		1978	16/01/2011, 18:20	17/09/2018, 22:38	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Bunny Maloney:Lovers Vol 1:16 Baby I've Been Missing You.mp3
Stealing Love	Carlene Davis	Kelly Verdell	Lovers Vol 1						Lovers Rock	4058150	242			6		1991	16/01/2011, 00:48	17/09/2018, 22:38	133	44100		MPEG audio file			1	17/09/2018, 23:30	2	26/09/2019, 00:39		MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Carlene Davis:Lovers Vol 1:06 Stealing Love.MP3
Between Me & You	Carol Campbell	Carol Campbell	Lovers Vol 1						Lovers Rock	3987417	249			17		1983	17/09/2018, 23:40	17/09/2018, 22:38	128	44100		MPEG audio file					1	26/09/2019, 00:39		MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Various Artists:Lovers Vol 1:17 Between Me & You.mp3
Peaceful Woman	Carol Catlin		Lovers Vol 1						Lovers Rock	3683101	228			6		1977	17/09/2018, 23:39	17/09/2018, 22:38	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Carol Catlin:Lovers Vol 1:06 Peaceful Woman.mp3
Spoiled	Carol Gonzales		Lovers Vol 1						Lovers Rock	6143752	381			6			16/01/2011, 00:48	17/09/2018, 22:38	128	44100		MPEG audio file					1	26/09/2019, 00:39		MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Carol Gonzales:Lovers Vol 1:06 Spoiled.mp3
Happy Song	Carol Thompson		Lovers Vol 1						Lovers Rock	4302433	267			8		1981	16/01/2011, 00:48	17/09/2018, 22:38	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:carol thompson:Lovers Vol 1:08 Happy Song.mp3
Just A Little Bit	Carroll Thompson		Lovers Vol 1						Lovers Rock	3430790	212			3			16/01/2011, 00:48	17/09/2018, 22:38	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Carroll Thompson:Lovers Vol 1:03 Just A Little Bit.mp3
Yesterday	Carroll Thompson		Lovers Vol 1						Lovers Rock	3635495	227			6		1980	17/09/2018, 23:38	17/09/2018, 22:38	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Carroll Thompson:Lovers Vol 1:06 Yesterday.mp3
Simply In Love	Carroll Thompson		Lovers Vol 1						Lovers Rock	3607492	225			10		1981	17/09/2018, 23:39	17/09/2018, 22:38	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Carroll Thompson:Lovers Vol 1:10 Simply In Love.mp3
Your Love	Carroll Thompson		Lovers Vol 1						Lovers Rock	3453265	214			19		1982	17/09/2018, 23:38	17/09/2018, 22:38	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Carroll Thompson:Lovers Vol 1:19 Your Love.mp3
Hopelessly	Carroll Thompson		Lovers Vol 1						Lovers Rock	3746258	230						16/01/2011, 00:48	17/09/2018, 22:38	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Carroll Thompson:Lovers Vol 1:Hopelessly.mp3
I'm So Sorry	Carroll Thompson		Lovers Vol 1						Lovers Rock	4255573	262						16/01/2011, 00:48	17/09/2018, 22:38	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Carroll Thompson:Lovers Vol 1:I'm So Sorry.mp3
Kiss & Goodbye	Cassandra		Love Affair						Lovers Rock	3603271	223			2		1976	17/09/2018, 23:36	17/09/2018, 22:38	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Cassandra:Love Affair:02 Kiss & Goodbye.mp3
Back In Love	Cassandra		Love Affair						Lovers Rock	4120662	255			6		1976	17/09/2018, 23:36	17/09/2018, 22:38	128	44100		MPEG audio file					1	27/09/2018, 00:07		MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Cassandra:Love Affair:06 Back In Love.mp3
Thank You	cassandra	Jamiene Thompson	Lovers Vol 1						Lovers Rock	3412305	213			1		1980	17/09/2018, 23:31	17/09/2018, 22:38	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Cassandra:Lovers Vol 1:01 Thank You.mp3
I Never Let You Go	Cassandra		Lovers Vol 1						Lovers Rock	3732420	231			2		1977	17/09/2018, 23:31	17/09/2018, 22:38	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Cassandra:Lovers Vol 1:02 I Never Let You Go.mp3
Sitting In The Park	Cassandra		Lovers Vol 1						Reggae	3870764	240			11		1979	17/09/2018, 23:30	17/09/2018, 22:38	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Cassandra:Lovers Vol 1:11 Sitting In The Park.mp3
Love Me Sweter	Cassandra		Lovers Vol 1						Reggae	3371763	209			12		1976	17/09/2018, 23:31	17/09/2018, 22:38	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Cassandra:Lovers Vol 1:12 Love Me Sweter.mp3
