,Unnamed: 0,track_name,artist,album,release_date,explicit,track_id,track_uri,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2SAUDKug8TIhXLJct1lLI2,1573,Yu Zimme - Remix,Stylo G,Yu Zimme (Remix),2017-06-07,True,2SAUDKug8TIhXLJct1lLI2,spotify:track:2SAUDKug8TIhXLJct1lLI2,dancehall,0.653,0.737,6,-4.462,0,0.267,0.00412,0.000618,0.131,0.325,133.036,audio_features,2SAUDKug8TIhXLJct1lLI2,spotify:track:2SAUDKug8TIhXLJct1lLI2,https://api.spotify.com/v1/tracks/2SAUDKug8TIhXLJct1lLI2,https://api.spotify.com/v1/audio-analysis/2SAUDKug8TIhXLJct1lLI2,138000,5
2SXJE0Afzf52dX1OD9BMsC,629,Traffic Jam,Banx & Ranx,Traffic Jam,2019-11-07,False,2SXJE0Afzf52dX1OD9BMsC,spotify:track:2SXJE0Afzf52dX1OD9BMsC,dancehall,0.808,0.856,5,-3.635,0,0.0493,0.00776,0.0,0.119,0.599,107.019,audio_features,2SXJE0Afzf52dX1OD9BMsC,spotify:track:2SXJE0Afzf52dX1OD9BMsC,https://api.spotify.com/v1/tracks/2SXJE0Afzf52dX1OD9BMsC,https://api.spotify.com/v1/audio-analysis/2SXJE0Afzf52dX1OD9BMsC,162390,4
2Stk2zUJdVBpXBRVGkFPGg,1125,Up in Deh,Razor B,Up In Deh - Single,2015-08-07,True,2Stk2zUJdVBpXBRVGkFPGg,spotify:track:2Stk2zUJdVBpXBRVGkFPGg,dancehall,0.858,0.796,1,-6.376,0,0.175,0.0962,0.00145,0.051,0.595,125.066,audio_features,2Stk2zUJdVBpXBRVGkFPGg,spotify:track:2Stk2zUJdVBpXBRVGkFPGg,https://api.spotify.com/v1/tracks/2Stk2zUJdVBpXBRVGkFPGg,https://api.spotify.com/v1/audio-analysis/2Stk2zUJdVBpXBRVGkFPGg,206341,4
2SvmJcRD4uvmmLCN6uaQ8k,346,Tell Mi,Konshens,Tell Mi (Produced by ZJ LIquid),2017-10-20,True,2SvmJcRD4uvmmLCN6uaQ8k,spotify:track:2SvmJcRD4uvmmLCN6uaQ8k,dancehall,0.966,0.892,1,-3.23,0,0.17,0.219,0.0,0.102,0.963,109.054,audio_features,2SvmJcRD4uvmmLCN6uaQ8k,spotify:track:2SvmJcRD4uvmmLCN6uaQ8k,https://api.spotify.com/v1/tracks/2SvmJcRD4uvmmLCN6uaQ8k,https://api.spotify.com/v1/audio-analysis/2SvmJcRD4uvmmLCN6uaQ8k,141087,4
2T3MKaAPR4EEd1GKAGAdFW,1654,Apartment,Demarco,Seduction Riddim,2013-06-11,True,2T3MKaAPR4EEd1GKAGAdFW,spotify:track:2T3MKaAPR4EEd1GKAGAdFW,dancehall,0.766,0.821,6,-4.955,0,0.256,0.148,0.0,0.34,0.78,90.926,audio_features,2T3MKaAPR4EEd1GKAGAdFW,spotify:track:2T3MKaAPR4EEd1GKAGAdFW,https://api.spotify.com/v1/tracks/2T3MKaAPR4EEd1GKAGAdFW,https://api.spotify.com/v1/audio-analysis/2T3MKaAPR4EEd1GKAGAdFW,152738,4
2TtK7S6hNGRefID03369fO,1204,Sexability,Vybz Kartel,Sexability,2019-04-28,False,2TtK7S6hNGRefID03369fO,spotify:track:2TtK7S6hNGRefID03369fO,dancehall,0.597,0.514,6,-9.499,0,0.307,0.168,1.09e-06,0.0672,0.496,100.803,audio_features,2TtK7S6hNGRefID03369fO,spotify:track:2TtK7S6hNGRefID03369fO,https://api.spotify.com/v1/tracks/2TtK7S6hNGRefID03369fO,https://api.spotify.com/v1/audio-analysis/2TtK7S6hNGRefID03369fO,204000,4
2VHpmtyC4VjiOJR7wIjQGG,993,Slim a Wear,Demarco,Lifestyle Riddim,2019-05-03,True,2VHpmtyC4VjiOJR7wIjQGG,spotify:track:2VHpmtyC4VjiOJR7wIjQGG,dancehall,0.682,0.806,5,-5.929,0,0.257,0.0956,0.0,0.0823,0.846,138.695,audio_features,2VHpmtyC4VjiOJR7wIjQGG,spotify:track:2VHpmtyC4VjiOJR7wIjQGG,https://api.spotify.com/v1/tracks/2VHpmtyC4VjiOJR7wIjQGG,https://api.spotify.com/v1/audio-analysis/2VHpmtyC4VjiOJR7wIjQGG,186408,5
2VwdaxCetjsXY3T4nlVSJP,15,Scream,IQ,Scream,2018-11-02,True,2VwdaxCetjsXY3T4nlVSJP,spotify:track:2VwdaxCetjsXY3T4nlVSJP,dancehall,0.628,0.645,9,-6.83,1,0.163,0.194,0.0,0.3,0.626,119.732,audio_features,2VwdaxCetjsXY3T4nlVSJP,spotify:track:2VwdaxCetjsXY3T4nlVSJP,https://api.spotify.com/v1/tracks/2VwdaxCetjsXY3T4nlVSJP,https://api.spotify.com/v1/audio-analysis/2VwdaxCetjsXY3T4nlVSJP,194667,5
2X3Kyhqq6KTyqgo7UVnnkb,986,Can't Kill We,Vybz Kartel,Can't Kill We,2019-04-19,True,2X3Kyhqq6KTyqgo7UVnnkb,spotify:track:2X3Kyhqq6KTyqgo7UVnnkb,dancehall,0.782,0.828,9,-4.931,0,0.167,0.567,0.0,0.348,0.897,90.053,audio_features,2X3Kyhqq6KTyqgo7UVnnkb,spotify:track:2X3Kyhqq6KTyqgo7UVnnkb,https://api.spotify.com/v1/tracks/2X3Kyhqq6KTyqgo7UVnnkb,https://api.spotify.com/v1/audio-analysis/2X3Kyhqq6KTyqgo7UVnnkb,211500,4
2X6qIZPT8CyoTTfqHScYCB,603,Gangsta - Remix,Darkoo,Gangsta (Remix),2019-12-27,True,2X6qIZPT8CyoTTfqHScYCB,spotify:track:2X6qIZPT8CyoTTfqHScYCB,dancehall,0.893,0.683,0,-7.76,1,0.205,0.174,0.0,0.171,0.781,100.115,audio_features,2X6qIZPT8CyoTTfqHScYCB,spotify:track:2X6qIZPT8CyoTTfqHScYCB,https://api.spotify.com/v1/tracks/2X6qIZPT8CyoTTfqHScYCB,https://api.spotify.com/v1/audio-analysis/2X6qIZPT8CyoTTfqHScYCB,213600,4
