,Unnamed: 0,track_name,artist,album,release_date,explicit,track_id,track_uri,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
6CEkI2ymkuwDWxVFogaSHR,182,Not One Thing,Patrice Roberts,4th Quarter Riddim,2018-12-21,False,6CEkI2ymkuwDWxVFogaSHR,spotify:track:6CEkI2ymkuwDWxVFogaSHR,soca,0.555,0.764,0.0,-4.645,1.0,0.227,0.254,0.0,0.279,0.884,106.059,audio_features,6CEkI2ymkuwDWxVFogaSHR,spotify:track:6CEkI2ymkuwDWxVFogaSHR,https://api.spotify.com/v1/tracks/6CEkI2ymkuwDWxVFogaSHR,https://api.spotify.com/v1/audio-analysis/6CEkI2ymkuwDWxVFogaSHR,192588.0,4.0
6CHvDi3C3gW0WMRHzpDjCO,267,The Struggle,Bunji Garlin,The Struggle,2019-10-31,False,6CHvDi3C3gW0WMRHzpDjCO,spotify:track:6CHvDi3C3gW0WMRHzpDjCO,soca,0.815,0.843,2.0,-7.665,1.0,0.0644,0.25,0.000483,0.362,0.417,123.003,audio_features,6CHvDi3C3gW0WMRHzpDjCO,spotify:track:6CHvDi3C3gW0WMRHzpDjCO,https://api.spotify.com/v1/tracks/6CHvDi3C3gW0WMRHzpDjCO,https://api.spotify.com/v1/audio-analysis/6CHvDi3C3gW0WMRHzpDjCO,220488.0,4.0
6CKwNDR6ii0uklzjkxgdh0,589,Dear Drunk People,Precision Productions,Tingin' Riddim,2019-01-23,False,6CKwNDR6ii0uklzjkxgdh0,spotify:track:6CKwNDR6ii0uklzjkxgdh0,soca,0.555,0.839,0.0,-4.591,1.0,0.131,0.235,0.0,0.107,0.856,123.543,audio_features,6CKwNDR6ii0uklzjkxgdh0,spotify:track:6CKwNDR6ii0uklzjkxgdh0,https://api.spotify.com/v1/tracks/6CKwNDR6ii0uklzjkxgdh0,https://api.spotify.com/v1/audio-analysis/6CKwNDR6ii0uklzjkxgdh0,242891.0,4.0
6CvmOdbUizqxPvvPSWNl14,271,Fair sa,Hypasounds,Fair sa,2019-05-08,False,6CvmOdbUizqxPvvPSWNl14,spotify:track:6CvmOdbUizqxPvvPSWNl14,soca,0.852,0.846,11.0,-3.024,0.0,0.0941,0.00414,0.278,0.094,0.298,110.026,audio_features,6CvmOdbUizqxPvvPSWNl14,spotify:track:6CvmOdbUizqxPvvPSWNl14,https://api.spotify.com/v1/tracks/6CvmOdbUizqxPvvPSWNl14,https://api.spotify.com/v1/audio-analysis/6CvmOdbUizqxPvvPSWNl14,181364.0,4.0
6D7FgAOJ5aJvqUtXxiSuNk,1151,Sicario,Popcaan,Sicario,2019-04-05,True,6D7FgAOJ5aJvqUtXxiSuNk,spotify:track:6D7FgAOJ5aJvqUtXxiSuNk,soca,0.614,0.699,3.0,-6.952,0.0,0.413,0.516,0.0,0.117,0.651,131.539,audio_features,6D7FgAOJ5aJvqUtXxiSuNk,spotify:track:6D7FgAOJ5aJvqUtXxiSuNk,https://api.spotify.com/v1/tracks/6D7FgAOJ5aJvqUtXxiSuNk,https://api.spotify.com/v1/audio-analysis/6D7FgAOJ5aJvqUtXxiSuNk,223469.0,5.0
6D9C16saiIkxvDWeaAc7fl,756,Ritual,Machel Montano,Sun Dance Riddim: Trinidad and Tobago Carnival Soca 2014,2014-02-07,False,6D9C16saiIkxvDWeaAc7fl,spotify:track:6D9C16saiIkxvDWeaAc7fl,soca,0.874,0.711,8.0,-5.876,1.0,0.277,0.176,0.0,0.115,0.753,139.975,audio_features,6D9C16saiIkxvDWeaAc7fl,spotify:track:6D9C16saiIkxvDWeaAc7fl,https://api.spotify.com/v1/tracks/6D9C16saiIkxvDWeaAc7fl,https://api.spotify.com/v1/audio-analysis/6D9C16saiIkxvDWeaAc7fl,226255.0,4.0
6DI66fsIkq3gHmcIcM88Rg,922,Jumbo Jet,Bunji Garlin,Turn Up,2017-09-01,False,6DI66fsIkq3gHmcIcM88Rg,spotify:track:6DI66fsIkq3gHmcIcM88Rg,soca,0.741,0.893,11.0,-4.69,0.0,0.227,0.285,0.0,0.0823,0.887,133.865,audio_features,6DI66fsIkq3gHmcIcM88Rg,spotify:track:6DI66fsIkq3gHmcIcM88Rg,https://api.spotify.com/v1/tracks/6DI66fsIkq3gHmcIcM88Rg,https://api.spotify.com/v1/audio-analysis/6DI66fsIkq3gHmcIcM88Rg,173187.0,4.0
6DWaxJpSML4EjcjRWzbzky,413,Honeypot,Nessa Preppy,Bittersweet Riddim,2019-10-21,False,6DWaxJpSML4EjcjRWzbzky,spotify:track:6DWaxJpSML4EjcjRWzbzky,soca,0.864,0.608,10.0,-4.915,1.0,0.0678,0.134,0.0,0.114,0.532,104.991,audio_features,6DWaxJpSML4EjcjRWzbzky,spotify:track:6DWaxJpSML4EjcjRWzbzky,https://api.spotify.com/v1/tracks/6DWaxJpSML4EjcjRWzbzky,https://api.spotify.com/v1/audio-analysis/6DWaxJpSML4EjcjRWzbzky,167382.0,4.0
6DppmRchMdUGOeXPLuqSnJ,659,What A Place,Stonebwoy,Sexting Riddim,2019-06-14,False,6DppmRchMdUGOeXPLuqSnJ,spotify:track:6DppmRchMdUGOeXPLuqSnJ,soca,0.502,0.808,4.0,-3.377,0.0,0.351,0.116,0.0,0.247,0.697,198.19,audio_features,6DppmRchMdUGOeXPLuqSnJ,spotify:track:6DppmRchMdUGOeXPLuqSnJ,https://api.spotify.com/v1/tracks/6DppmRchMdUGOeXPLuqSnJ,https://api.spotify.com/v1/audio-analysis/6DppmRchMdUGOeXPLuqSnJ,215983.0,4.0
6DzGeuC12V2S5p8HzdP3Lb,291,De Return,Boyzie,De Return,2019-07-26,False,6DzGeuC12V2S5p8HzdP3Lb,spotify:track:6DzGeuC12V2S5p8HzdP3Lb,soca,0.562,0.898,2.0,-6.515,1.0,0.102,0.0112,0.0,0.102,0.378,160.075,audio_features,6DzGeuC12V2S5p8HzdP3Lb,spotify:track:6DzGeuC12V2S5p8HzdP3Lb,https://api.spotify.com/v1/tracks/6DzGeuC12V2S5p8HzdP3Lb,https://api.spotify.com/v1/audio-analysis/6DzGeuC12V2S5p8HzdP3Lb,199440.0,4.0
6EL3N78yynhRYe4WYhY52z,1021,Rock Dat Body,Fadda Fox,Overseas Riddim,2018-04-27,False,6EL3N78yynhRYe4WYhY52z,spotify:track:6EL3N78yynhRYe4WYhY52z,soca,0.836,0.83,5.0,-5.444,0.0,0.112,0.361,0.0,0.131,0.954,103.045,audio_features,6EL3N78yynhRYe4WYhY52z,spotify:track:6EL3N78yynhRYe4WYhY52z,https://api.spotify.com/v1/tracks/6EL3N78yynhRYe4WYhY52z,https://api.spotify.com/v1/audio-analysis/6EL3N78yynhRYe4WYhY52z,198534.0,4.0
6EO2K7ZiodmXSXMSxuj3xy,31,Full of Vibe,Voice,Full of Vibe,2017-10-03,False,6EO2K7ZiodmXSXMSxuj3xy,spotify:track:6EO2K7ZiodmXSXMSxuj3xy,soca,0.605,0.784,11.0,-5.04,0.0,0.104,0.015,0.0,0.36,0.691,104.444,audio_features,6EO2K7ZiodmXSXMSxuj3xy,spotify:track:6EO2K7ZiodmXSXMSxuj3xy,https://api.spotify.com/v1/tracks/6EO2K7ZiodmXSXMSxuj3xy,https://api.spotify.com/v1/audio-analysis/6EO2K7ZiodmXSXMSxuj3xy,197607.0,4.0
6EPGQbfqSf6mSZd7O4cehQ,657,Slots,Peter Ram,Slots,2019-05-12,False,6EPGQbfqSf6mSZd7O4cehQ,spotify:track:6EPGQbfqSf6mSZd7O4cehQ,soca,0.762,0.813,0.0,-6.309,1.0,0.0665,0.00775,0.0,0.181,0.896,130.031,audio_features,6EPGQbfqSf6mSZd7O4cehQ,spotify:track:6EPGQbfqSf6mSZd7O4cehQ,https://api.spotify.com/v1/tracks/6EPGQbfqSf6mSZd7O4cehQ,https://api.spotify.com/v1/audio-analysis/6EPGQbfqSf6mSZd7O4cehQ,203947.0,4.0
6ErzBtr3NlYGSSHSRY2IVR,547,Foli,Jonnelle,Foli Riddim,2018-10-26,False,6ErzBtr3NlYGSSHSRY2IVR,spotify:track:6ErzBtr3NlYGSSHSRY2IVR,soca,0.659,0.789,0.0,-4.141,1.0,0.073,0.156,0.0,0.125,0.544,102.895,audio_features,6ErzBtr3NlYGSSHSRY2IVR,spotify:track:6ErzBtr3NlYGSSHSRY2IVR,https://api.spotify.com/v1/tracks/6ErzBtr3NlYGSSHSRY2IVR,https://api.spotify.com/v1/audio-analysis/6ErzBtr3NlYGSSHSRY2IVR,189320.0,4.0
6F8dErOsu7ZoUqL76f78BG,804,Thunder,Kes,On In 5,2009-03-27,False,6F8dErOsu7ZoUqL76f78BG,spotify:track:6F8dErOsu7ZoUqL76f78BG,soca,0.759,0.931,6.0,-5.099,0.0,0.0574,0.0566,0.0,0.0401,0.964,119.968,audio_features,6F8dErOsu7ZoUqL76f78BG,spotify:track:6F8dErOsu7ZoUqL76f78BG,https://api.spotify.com/v1/tracks/6F8dErOsu7ZoUqL76f78BG,https://api.spotify.com/v1/audio-analysis/6F8dErOsu7ZoUqL76f78BG,207600.0,4.0
