acousticness,danceability,duration_ms,energy,explicit,genre,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_id,valence,year
0.0122,0.8109999999999999,277893.0,0.428,0,1,0.317,7,0.344,-10.728,1,0.221,80.962,2,0INtJm8gCJKtNaAYQNVlpZ,0.653,1994
0.0122,0.8109999999999999,277893.0,0.428,0,1,0.317,7,0.344,-10.728,1,0.221,80.962,2,0INtJm8gCJKtNaAYQNVlpZ,0.653,1994
0.0122,0.8109999999999999,277893.0,0.428,0,1,0.317,7,0.344,-10.728,1,0.221,80.962,2,0INtJm8gCJKtNaAYQNVlpZ,0.653,1994
0.0122,0.8109999999999999,277893.0,0.428,0,1,0.317,7,0.344,-10.728,1,0.221,80.962,2,0INtJm8gCJKtNaAYQNVlpZ,0.653,1994
0.0122,0.8109999999999999,277893.0,0.428,0,1,0.317,7,0.344,-10.728,1,0.221,80.962,2,0INtJm8gCJKtNaAYQNVlpZ,0.653,1994
0.0122,0.8109999999999999,277893.0,0.428,0,1,0.317,7,0.344,-10.728,1,0.221,80.962,2,0INtJm8gCJKtNaAYQNVlpZ,0.653,1994
0.222,0.745,171840.0,0.816,1,1,0.0,6,0.235,-5.372000000000001,1,0.132,90.027,2,0IaLdRY6LMsHgVJk9S9agX,0.765,2017
0.0021,0.574,206867.0,0.69,0,1,3.02e-06,4,0.38,-7.313,0,0.223,158.11700000000005,2,0IcjWuoXbhOFMyaDDINOyc,0.624,2013
0.0021,0.574,206867.0,0.69,0,1,3.02e-06,4,0.38,-7.313,0,0.223,158.11700000000005,2,0IcjWuoXbhOFMyaDDINOyc,0.624,2013
0.0021,0.574,206867.0,0.69,0,1,3.02e-06,4,0.38,-7.313,0,0.223,158.11700000000005,2,0IcjWuoXbhOFMyaDDINOyc,0.624,2013
0.0021,0.574,206867.0,0.69,0,1,3.02e-06,4,0.38,-7.313,0,0.223,158.11700000000005,2,0IcjWuoXbhOFMyaDDINOyc,0.624,2013
0.231,0.718,211067.0,0.562,0,1,0.000453,10,0.149,-11.045,1,0.041,137.846,2,0J4fPyFpUvMq9WeC0WIJih,0.966,1986
0.125,0.606,203853.0,0.535,0,1,0.0,7,0.107,-5.64,1,0.103,83.70100000000002,2,0JFXmQ1gdhDy1HAxYi4AV4,0.741,2016
0.225,0.667,214667.0,0.423,0,1,9.2e-05,9,0.123,-16.886,1,0.238,72.33,2,0JYUxplXfpjtrmYzpucP4U,0.863,1984
0.0576,0.774,168773.0,0.526,0,1,3.4e-05,1,0.118,-9.72,0,0.231,167.166,2,0JesBbjmnQqSwOyz2zkggW,0.5329999999999999,2000
0.735,0.505,267175.0,0.447,0,1,0.0,7,0.172,-6.932,1,0.0326,117.926,2,0KDKWUzgpKyvhxKbGo8piX,0.5529999999999999,2013
0.0676,0.65,220720.0,0.667,0,1,0.0,9,0.0863,-4.681,0,0.16,149.50799999999995,2,0Kc9AvJRYU1aUOJ3eKMii1,0.855,2002
0.00425,0.604,268720.0,0.75,0,1,0.0,0,0.126,-6.71,0,0.0293,138.039,2,0LpCTf7fUtVhkukBXE0tps,0.578,2014
0.772,0.759,206760.0,0.377,0,1,0.882,1,0.206,-14.468,1,0.0399,123.764,2,0NJ6fub02yWHP64NGudMcy,0.716,1978
0.0046700000000000005,0.496,249480.0,0.755,0,1,0.0525,9,0.0681,-6.3660000000000005,0,0.0381,88.634,2,0Np2PkYnOMQUxXceLPwfEy,0.867,2007
0.362,0.908,162333.0,0.644,0,1,2.85e-05,1,0.196,-8.207,1,0.0437,128.011,2,0NtSCOmYOyz88UKpV3VZNq,0.942,1972
0.00269,0.722,280667.0,0.5579999999999999,0,1,0.000119,7,0.16,-14.140999999999998,1,0.191,145.035,2,0O0kD2jjI2y2KlXHcl3iNA,0.963,1976
0.105,0.75,232800.0,0.5529999999999999,0,1,0.0,1,0.0761,-8.426,0,0.0447,152.101,2,0OBpi0UROMJXLyU0Zky3KS,0.774,1992
0.0367,0.742,231733.0,0.568,0,1,0.0715,0,0.0511,-12.667,1,0.156,80.946,2,0OKMUpT5jHO3g5MePDoDXr,0.6779999999999999,1980
0.46,0.691,171907.0,0.835,0,1,0.867,1,0.0994,-5.872999999999998,1,0.09,89.461,2,0OQzqCQYJQgYEhjDTJPvux,0.935,2008
0.721,0.8029999999999999,216853.0,0.574,0,1,0.54,4,0.157,-12.223,0,0.149,144.45,2,0OsNAPrTofbMkvcjpeBgJb,0.787,2007
0.452,0.8009999999999999,256163.0,0.4,0,1,0.000203,8,0.138,-13.607,0,0.182,77.551,2,0PFxLNvbRuRCKt0yFdPXG6,0.8740000000000001,1985
0.147,0.897,214533.0,0.522,0,1,0.00613,0,0.14,-9.604,1,0.121,124.741,2,0PYUSQOG4TNWH8fvyVEoWz,0.91,1996
