,track_id,track_name,track_uri,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1162,2BJy5YrRMhVCqaLNY5cbv2,Free,spotify:track:2BJy5YrRMhVCqaLNY5cbv2,Donavon Frankenreiter,0.793,0.464,5,-6.624,1,0.0386,0.112,0.0,0.109,0.851,124.997,audio_features,2BJy5YrRMhVCqaLNY5cbv2,spotify:track:2BJy5YrRMhVCqaLNY5cbv2,https://api.spotify.com/v1/tracks/2BJy5YrRMhVCqaLNY5cbv2,https://api.spotify.com/v1/audio-analysis/2BJy5YrRMhVCqaLNY5cbv2,148600,4
1163,2UjGyCvayHjGihV3oLhD8a,It Don't Matter,spotify:track:2UjGyCvayHjGihV3oLhD8a,Donavon Frankenreiter,0.937,0.528,0,-6.305,1,0.0353,0.0952,1.1e-06,0.237,0.766,104.96,audio_features,2UjGyCvayHjGihV3oLhD8a,spotify:track:2UjGyCvayHjGihV3oLhD8a,https://api.spotify.com/v1/tracks/2UjGyCvayHjGihV3oLhD8a,https://api.spotify.com/v1/audio-analysis/2UjGyCvayHjGihV3oLhD8a,186000,4
1164,1jxQKV6UlzV3scs6SMBHNX,Ring The Alarm,spotify:track:1jxQKV6UlzV3scs6SMBHNX,Little Sound Boy,0.721,0.442,7,-13.493,0,0.345,0.0474,2.5e-06,0.0668,0.477,92.4,audio_features,1jxQKV6UlzV3scs6SMBHNX,spotify:track:1jxQKV6UlzV3scs6SMBHNX,https://api.spotify.com/v1/tracks/1jxQKV6UlzV3scs6SMBHNX,https://api.spotify.com/v1/audio-analysis/1jxQKV6UlzV3scs6SMBHNX,176733,4
1165,37qD8oCBeOeADYoD29kDNs,Golden Hen,spotify:track:37qD8oCBeOeADYoD29kDNs,Tenor Saw Meets Nitty Gritty,0.75,0.624,9,-5.821,1,0.21,0.0422,0.00076,0.105,0.358,85.679,audio_features,37qD8oCBeOeADYoD29kDNs,spotify:track:37qD8oCBeOeADYoD29kDNs,https://api.spotify.com/v1/tracks/37qD8oCBeOeADYoD29kDNs,https://api.spotify.com/v1/audio-analysis/37qD8oCBeOeADYoD29kDNs,225120,4
1166,5fcN6gVA5YnIges0yd8JGY,Love in the Morning,spotify:track:5fcN6gVA5YnIges0yd8JGY,Sister Carol Liberation for Africa,0.698,0.822,7,-4.561,1,0.241,0.43,4.73e-05,0.27,0.674,144.686,audio_features,5fcN6gVA5YnIges0yd8JGY,spotify:track:5fcN6gVA5YnIges0yd8JGY,https://api.spotify.com/v1/tracks/5fcN6gVA5YnIges0yd8JGY,https://api.spotify.com/v1/audio-analysis/5fcN6gVA5YnIges0yd8JGY,155427,4
1167,2WBcvW3UbxqQqJEZshFL3K,Dread Natty Congo,spotify:track:2WBcvW3UbxqQqJEZshFL3K,Lyrically Potent,0.84,0.657,7,-7.858,1,0.199,0.174,0.0,0.237,0.494,103.027,audio_features,2WBcvW3UbxqQqJEZshFL3K,spotify:track:2WBcvW3UbxqQqJEZshFL3K,https://api.spotify.com/v1/tracks/2WBcvW3UbxqQqJEZshFL3K,https://api.spotify.com/v1/audio-analysis/2WBcvW3UbxqQqJEZshFL3K,270000,4
1168,3ooGl4Hfrn9mwMg8KdsbSV,No Warrior,spotify:track:3ooGl4Hfrn9mwMg8KdsbSV,Rabbi Son,0.872,0.697,11,-5.057,0,0.0771,0.024,0.000769,0.051,0.947,144.032,audio_features,3ooGl4Hfrn9mwMg8KdsbSV,spotify:track:3ooGl4Hfrn9mwMg8KdsbSV,https://api.spotify.com/v1/tracks/3ooGl4Hfrn9mwMg8KdsbSV,https://api.spotify.com/v1/audio-analysis/3ooGl4Hfrn9mwMg8KdsbSV,230253,4
1169,1sKfM2DDOWtFembW2l5jNj,Sentenced,spotify:track:1sKfM2DDOWtFembW2l5jNj,Compilation Nouveaux Talents Believe 2006 Fête De La Musique,0.897,0.54,11,-5.146,1,0.0421,0.0236,0.00542,0.0484,0.752,97.006,audio_features,1sKfM2DDOWtFembW2l5jNj,spotify:track:1sKfM2DDOWtFembW2l5jNj,https://api.spotify.com/v1/tracks/1sKfM2DDOWtFembW2l5jNj,https://api.spotify.com/v1/audio-analysis/1sKfM2DDOWtFembW2l5jNj,195791,4
1170,6fbhzMT4U4sD6wkbSl2REb,Sleepin' Lion,spotify:track:6fbhzMT4U4sD6wkbSl2REb,Vision,0.89,0.597,9,-6.643,0,0.0668,0.046,1.28e-06,0.145,0.768,145.946,audio_features,6fbhzMT4U4sD6wkbSl2REb,spotify:track:6fbhzMT4U4sD6wkbSl2REb,https://api.spotify.com/v1/tracks/6fbhzMT4U4sD6wkbSl2REb,https://api.spotify.com/v1/audio-analysis/6fbhzMT4U4sD6wkbSl2REb,275933,4
1171,7h9KD6JljL4DYvD8NNG2aV,This Morning,spotify:track:7h9KD6JljL4DYvD8NNG2aV,Waiting (EP),0.849,0.476,1,-9.02,0,0.281,0.0548,0.000205,0.0939,0.752,147.932,audio_features,7h9KD6JljL4DYvD8NNG2aV,spotify:track:7h9KD6JljL4DYvD8NNG2aV,https://api.spotify.com/v1/tracks/7h9KD6JljL4DYvD8NNG2aV,https://api.spotify.com/v1/audio-analysis/7h9KD6JljL4DYvD8NNG2aV,181520,4
