,track_name,artist,album,release_date,explicit,track_id,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
95,Ever Again - Single Mix,Robyn,Ever Again,2019-06-17,False,0yvTZ56ukCyRFwblpm7Hlk,spotify:track:0yvTZ56ukCyRFwblpm7Hlk,0.885,0.501,4,-10.742,0,0.0813,0.0335,0.00038,0.1,0.77,125.012,audio_features,0yvTZ56ukCyRFwblpm7Hlk,spotify:track:0yvTZ56ukCyRFwblpm7Hlk,https://api.spotify.com/v1/tracks/0yvTZ56ukCyRFwblpm7Hlk,https://api.spotify.com/v1/audio-analysis/0yvTZ56ukCyRFwblpm7Hlk,263800,4
96,Smile and Go,SAULT,7,2019-09-27,False,1WidFpp8u3uumPoFdYLLqh,spotify:track:1WidFpp8u3uumPoFdYLLqh,0.88,0.746,5,-4.897,1,0.0349,0.235,0.223,0.138,0.963,110.029,audio_features,1WidFpp8u3uumPoFdYLLqh,spotify:track:1WidFpp8u3uumPoFdYLLqh,https://api.spotify.com/v1/tracks/1WidFpp8u3uumPoFdYLLqh,https://api.spotify.com/v1/audio-analysis/1WidFpp8u3uumPoFdYLLqh,164332,4
97,Think Too Much - Radio Edit,Bel Tempo,Think Too Much,2019-06-14,False,7o4oPVXw15AZaqiHS44SZJ,spotify:track:7o4oPVXw15AZaqiHS44SZJ,0.636,0.835,9,-7.672,0,0.0555,0.0148,0.0319,0.154,0.437,120.017,audio_features,7o4oPVXw15AZaqiHS44SZJ,spotify:track:7o4oPVXw15AZaqiHS44SZJ,https://api.spotify.com/v1/tracks/7o4oPVXw15AZaqiHS44SZJ,https://api.spotify.com/v1/audio-analysis/7o4oPVXw15AZaqiHS44SZJ,215500,4
98,Patience,Tame Impala,Patience,2019-03-22,False,2drEUEg0TYQR6dDEHkpuPE,spotify:track:2drEUEg0TYQR6dDEHkpuPE,0.546,0.859,1,-5.966,1,0.0306,0.00223,0.000947,0.0529,0.645,99.965,audio_features,2drEUEg0TYQR6dDEHkpuPE,spotify:track:2drEUEg0TYQR6dDEHkpuPE,https://api.spotify.com/v1/tracks/2drEUEg0TYQR6dDEHkpuPE,https://api.spotify.com/v1/audio-analysis/2drEUEg0TYQR6dDEHkpuPE,292267,4
99,Okay,SASSY 009,KILL SASSY 009,2019-11-22,False,0T4JUX88SPyHnOjuL7AMtZ,spotify:track:0T4JUX88SPyHnOjuL7AMtZ,0.275,0.529,1,-13.573,1,0.0554,0.217,0.738,0.142,0.112,159.955,audio_features,0T4JUX88SPyHnOjuL7AMtZ,spotify:track:0T4JUX88SPyHnOjuL7AMtZ,https://api.spotify.com/v1/tracks/0T4JUX88SPyHnOjuL7AMtZ,https://api.spotify.com/v1/audio-analysis/0T4JUX88SPyHnOjuL7AMtZ,200010,5
100,Started Out - Tuff City Kids Remix,Georgia,Started Out (Tuff City Kids Remix),2018-10-26,False,7i9q6iWeZDcQxQVyJQGVjT,spotify:track:7i9q6iWeZDcQxQVyJQGVjT,0.618,0.753,0,-12.127,0,0.0391,0.00647,0.63,0.0698,0.417,115.016,audio_features,7i9q6iWeZDcQxQVyJQGVjT,spotify:track:7i9q6iWeZDcQxQVyJQGVjT,https://api.spotify.com/v1/tracks/7i9q6iWeZDcQxQVyJQGVjT,https://api.spotify.com/v1/audio-analysis/7i9q6iWeZDcQxQVyJQGVjT,422390,4
101,Home,Caribou,Home,2019-10-08,False,711gGx1GpUv9YW9KTSfJfH,spotify:track:711gGx1GpUv9YW9KTSfJfH,0.711,0.663,9,-7.995,0,0.0997,0.0251,0.00727,0.246,0.507,96.996,audio_features,711gGx1GpUv9YW9KTSfJfH,spotify:track:711gGx1GpUv9YW9KTSfJfH,https://api.spotify.com/v1/tracks/711gGx1GpUv9YW9KTSfJfH,https://api.spotify.com/v1/audio-analysis/711gGx1GpUv9YW9KTSfJfH,156293,4
102,Nobody Else,THE S.L.P.,Nobody Else,2019-06-20,False,2ScgD1ijVf212etBZAuFvJ,spotify:track:2ScgD1ijVf212etBZAuFvJ,0.61,0.784,0,-5.951,1,0.0377,0.0671,0.00162,0.132,0.369,109.964,audio_features,2ScgD1ijVf212etBZAuFvJ,spotify:track:2ScgD1ijVf212etBZAuFvJ,https://api.spotify.com/v1/tracks/2ScgD1ijVf212etBZAuFvJ,https://api.spotify.com/v1/audio-analysis/2ScgD1ijVf212etBZAuFvJ,250307,4
103,Dream Steppin',Two People,Dream Steppin',2019-11-21,False,3yn21xu3suihX4xroITXkv,spotify:track:3yn21xu3suihX4xroITXkv,0.621,0.603,9,-5.784,0,0.0265,0.129,0.0165,0.0544,0.651,100.003,audio_features,3yn21xu3suihX4xroITXkv,spotify:track:3yn21xu3suihX4xroITXkv,https://api.spotify.com/v1/tracks/3yn21xu3suihX4xroITXkv,https://api.spotify.com/v1/audio-analysis/3yn21xu3suihX4xroITXkv,225638,4
104,Toyota Man,Neon Indian,Toyota Man,2019-11-14,False,1CsCuwscKV2tYqLeG0p8Q6,spotify:track:1CsCuwscKV2tYqLeG0p8Q6,0.563,0.864,7,-5.313,1,0.281,0.0685,5.04e-06,0.516,0.896,93.901,audio_features,1CsCuwscKV2tYqLeG0p8Q6,spotify:track:1CsCuwscKV2tYqLeG0p8Q6,https://api.spotify.com/v1/tracks/1CsCuwscKV2tYqLeG0p8Q6,https://api.spotify.com/v1/audio-analysis/1CsCuwscKV2tYqLeG0p8Q6,252883,4
