,track_id,track_name,track_uri,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
133,1rgvQa2AB4uldY5JOWAy8t,Country Living,spotify:track:1rgvQa2AB4uldY5JOWAy8t,Country Life,0.783,0.314,7.0,-14.353,1.0,0.043,0.126,0.0,0.154,0.895,83.744,audio_features,1rgvQa2AB4uldY5JOWAy8t,spotify:track:1rgvQa2AB4uldY5JOWAy8t,https://api.spotify.com/v1/tracks/1rgvQa2AB4uldY5JOWAy8t,https://api.spotify.com/v1/audio-analysis/1rgvQa2AB4uldY5JOWAy8t,286400.0,4.0
134,2nlZ72XBv9MQOUKbIaBoiq,I Want to Go Home,spotify:track:2nlZ72XBv9MQOUKbIaBoiq,The Trojan: Rocksteady Collection,0.781,0.336,5.0,-13.696,1.0,0.0467,0.805,0.101,0.184,0.97,113.292,audio_features,2nlZ72XBv9MQOUKbIaBoiq,spotify:track:2nlZ72XBv9MQOUKbIaBoiq,https://api.spotify.com/v1/tracks/2nlZ72XBv9MQOUKbIaBoiq,https://api.spotify.com/v1/audio-analysis/2nlZ72XBv9MQOUKbIaBoiq,139787.0,4.0
135,3UMQkXy1p8wKS5qUB1l1VW,Tougher Than Tough (Rudie in Court),spotify:track:3UMQkXy1p8wKS5qUB1l1VW,The Trojan Rude Boy Collection,0.834,0.354,7.0,-11.781,1.0,0.0353,0.918,0.00352,0.133,0.754,96.2,audio_features,3UMQkXy1p8wKS5qUB1l1VW,spotify:track:3UMQkXy1p8wKS5qUB1l1VW,https://api.spotify.com/v1/tracks/3UMQkXy1p8wKS5qUB1l1VW,https://api.spotify.com/v1/audio-analysis/3UMQkXy1p8wKS5qUB1l1VW,141773.0,4.0
136,3Q6QQMARzPG55AeV62WQ6S,Rivers of Babylon - Long Version,spotify:track:3Q6QQMARzPG55AeV62WQ6S,Rivers of Babylon: The Best of The Melodians 1967-1973,0.794,0.369,7.0,-14.082,1.0,0.0684,0.685,0.342,0.0973,0.791,106.884,audio_features,3Q6QQMARzPG55AeV62WQ6S,spotify:track:3Q6QQMARzPG55AeV62WQ6S,https://api.spotify.com/v1/tracks/3Q6QQMARzPG55AeV62WQ6S,https://api.spotify.com/v1/audio-analysis/3Q6QQMARzPG55AeV62WQ6S,257267.0,4.0
137,6EJmyOZozQeSTxyKgBsdle,Sweet Sensation,spotify:track:6EJmyOZozQeSTxyKgBsdle,Rivers of Babylon: The Best of The Melodians 1967-1973,0.962,0.378,0.0,-13.364,1.0,0.216,0.209,0.29,0.635,0.953,122.122,audio_features,6EJmyOZozQeSTxyKgBsdle,spotify:track:6EJmyOZozQeSTxyKgBsdle,https://api.spotify.com/v1/tracks/6EJmyOZozQeSTxyKgBsdle,https://api.spotify.com/v1/audio-analysis/6EJmyOZozQeSTxyKgBsdle,235640.0,4.0
138,2gdz81vrHY9geuegKwnN9g,Only from You,spotify:track:2gdz81vrHY9geuegKwnN9g,"A Table Full of Strangers, Vol. 2",0.489,0.246,7.0,-12.658,1.0,0.0343,0.868,0.000728,0.054,0.213,127.983,audio_features,2gdz81vrHY9geuegKwnN9g,spotify:track:2gdz81vrHY9geuegKwnN9g,https://api.spotify.com/v1/tracks/2gdz81vrHY9geuegKwnN9g,https://api.spotify.com/v1/audio-analysis/2gdz81vrHY9geuegKwnN9g,385213.0,3.0
139,2Ks207iuWztETRqnSLZgFa,Campfires and Masquerades,spotify:track:2Ks207iuWztETRqnSLZgFa,"A Table Full of Strangers, Vol. 1",0.474,0.338,9.0,-10.361,1.0,0.0285,0.762,0.0,0.0912,0.152,137.722,audio_features,2Ks207iuWztETRqnSLZgFa,spotify:track:2Ks207iuWztETRqnSLZgFa,https://api.spotify.com/v1/tracks/2Ks207iuWztETRqnSLZgFa,https://api.spotify.com/v1/audio-analysis/2Ks207iuWztETRqnSLZgFa,313160.0,4.0
140,573mudwDhftRSSbvLHC8xS,Spirit Break Out - Live,spotify:track:573mudwDhftRSSbvLHC8xS,Still Believe (Live),0.185,0.717,4.0,-5.735,0.0,0.0455,0.0496,0.0,0.546,0.1,73.6,audio_features,573mudwDhftRSSbvLHC8xS,spotify:track:573mudwDhftRSSbvLHC8xS,https://api.spotify.com/v1/tracks/573mudwDhftRSSbvLHC8xS,https://api.spotify.com/v1/audio-analysis/573mudwDhftRSSbvLHC8xS,382573.0,4.0
141,65O1Ry1edYOixyVOCXXY7R,Just Be,spotify:track:65O1Ry1edYOixyVOCXXY7R,Just Be,0.391,0.246,3.0,-9.214,1.0,0.0271,0.85,0.0,0.0893,0.118,71.616,audio_features,65O1Ry1edYOixyVOCXXY7R,spotify:track:65O1Ry1edYOixyVOCXXY7R,https://api.spotify.com/v1/tracks/65O1Ry1edYOixyVOCXXY7R,https://api.spotify.com/v1/audio-analysis/65O1Ry1edYOixyVOCXXY7R,273960.0,4.0
142,0dO79bdqpF4yl3Hpms8Eu7,Cool and Calm,spotify:track:0dO79bdqpF4yl3Hpms8Eu7,Strength of My Life,0.795,0.415,0.0,-10.466,1.0,0.153,0.127,8.76e-06,0.0669,0.821,76.28,audio_features,0dO79bdqpF4yl3Hpms8Eu7,spotify:track:0dO79bdqpF4yl3Hpms8Eu7,https://api.spotify.com/v1/tracks/0dO79bdqpF4yl3Hpms8Eu7,https://api.spotify.com/v1/audio-analysis/0dO79bdqpF4yl3Hpms8Eu7,265880.0,4.0
143,0be2eJI8vEjGnEKia2sZvr,The Same Song,spotify:track:0be2eJI8vEjGnEKia2sZvr,Falling Angels,0.924,0.382,1.0,-12.131,1.0,0.422,0.0284,0.00117,0.0361,0.683,123.006,audio_features,0be2eJI8vEjGnEKia2sZvr,spotify:track:0be2eJI8vEjGnEKia2sZvr,https://api.spotify.com/v1/tracks/0be2eJI8vEjGnEKia2sZvr,https://api.spotify.com/v1/audio-analysis/0be2eJI8vEjGnEKia2sZvr,239630.0,4.0
