,track_name,track_id,track_uri,artist,album_name,album_id,album_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
216,Falling,5kldLtKOIY5U9fkoFTZ1cv,spotify:track:5kldLtKOIY5U9fkoFTZ1cv,Peter Hunningale   ,"Pure Lovers, Vol. 3",6nuDoSVriS8f6FuLt6rL7K,spotify:album:6nuDoSVriS8f6FuLt6rL7K,0.685,0.406,7,-11.905,1,0.0433,0.265,0.0,0.149,0.524,82.227,audio_features,5kldLtKOIY5U9fkoFTZ1cv,spotify:track:5kldLtKOIY5U9fkoFTZ1cv,https://api.spotify.com/v1/tracks/5kldLtKOIY5U9fkoFTZ1cv,https://api.spotify.com/v1/audio-analysis/5kldLtKOIY5U9fkoFTZ1cv,214040,4
217,Oh Honey,7FPuflIikv1aDovymqE85F,spotify:track:7FPuflIikv1aDovymqE85F,Peter Hunningale   ,Romantic Reggae Vol. 9,4ZimOQhvcOafWetV4q52ke,spotify:album:4ZimOQhvcOafWetV4q52ke,0.628,0.68,2,-6.373,1,0.0509,0.308,2.28e-05,0.113,0.723,180.112,audio_features,7FPuflIikv1aDovymqE85F,spotify:track:7FPuflIikv1aDovymqE85F,https://api.spotify.com/v1/tracks/7FPuflIikv1aDovymqE85F,https://api.spotify.com/v1/audio-analysis/7FPuflIikv1aDovymqE85F,245093,4
218,African Tears,2FfYkmmKnsiQemzVM3GmBW,spotify:track:2FfYkmmKnsiQemzVM3GmBW,Peter Hunningale   ,"Reggae Hits, Vol. 24",2y8VO6wKTRZWKOdMP6CWLR,spotify:album:2y8VO6wKTRZWKOdMP6CWLR,0.859,0.494,10,-7.673,0,0.0431,0.0287,0.0,0.343,0.795,86.996,audio_features,2FfYkmmKnsiQemzVM3GmBW,spotify:track:2FfYkmmKnsiQemzVM3GmBW,https://api.spotify.com/v1/tracks/2FfYkmmKnsiQemzVM3GmBW,https://api.spotify.com/v1/audio-analysis/2FfYkmmKnsiQemzVM3GmBW,243533,4
219,Slipping Away,1Mz3EK8UsYohp1SQND1o4F,spotify:track:1Mz3EK8UsYohp1SQND1o4F,Peter Hunningale   ,Sir Lloyd Greatest Hits,2rVjE8dC9JkFt115NCpzF5,spotify:album:2rVjE8dC9JkFt115NCpzF5,0.636,0.396,10,-16.033,0,0.142,0.000405,0.0376,0.114,0.575,144.851,audio_features,1Mz3EK8UsYohp1SQND1o4F,spotify:track:1Mz3EK8UsYohp1SQND1o4F,https://api.spotify.com/v1/tracks/1Mz3EK8UsYohp1SQND1o4F,https://api.spotify.com/v1/audio-analysis/1Mz3EK8UsYohp1SQND1o4F,172720,4
220,Mr Songbird,3YX6YCKBwd4Na9RKHKpLCz,spotify:track:3YX6YCKBwd4Na9RKHKpLCz,Peter Hunningale   ,Mr. Government,6hXbgjk3r9sW86LD1b3ihE,spotify:album:6hXbgjk3r9sW86LD1b3ihE,0.718,0.642,10,-11.17,0,0.0579,0.0235,2.91e-06,0.0557,0.829,76.93,audio_features,3YX6YCKBwd4Na9RKHKpLCz,spotify:track:3YX6YCKBwd4Na9RKHKpLCz,https://api.spotify.com/v1/tracks/3YX6YCKBwd4Na9RKHKpLCz,https://api.spotify.com/v1/audio-analysis/3YX6YCKBwd4Na9RKHKpLCz,217014,4
221,Look At My Hands,0O9IqZRjOgoQ8XfsGaDMTR,spotify:track:0O9IqZRjOgoQ8XfsGaDMTR,Peter Hunningale   ,3 Bad Riddim Vol 3,1ZOTnb3vP1lpIwP9f9PtE6,spotify:album:1ZOTnb3vP1lpIwP9f9PtE6,0.729,0.439,7,-10.709,1,0.0768,0.162,0.0,0.0722,0.545,82.143,audio_features,0O9IqZRjOgoQ8XfsGaDMTR,spotify:track:0O9IqZRjOgoQ8XfsGaDMTR,https://api.spotify.com/v1/tracks/0O9IqZRjOgoQ8XfsGaDMTR,https://api.spotify.com/v1/audio-analysis/0O9IqZRjOgoQ8XfsGaDMTR,224351,4
222,Tweet Dub,3LKnuWuy9d4G5mbd5M03Nh,spotify:track:3LKnuWuy9d4G5mbd5M03Nh,Peter Hunningale   ,Mr. Government,6hXbgjk3r9sW86LD1b3ihE,spotify:album:6hXbgjk3r9sW86LD1b3ihE,0.697,0.534,10,-12.968,0,0.105,0.00126,0.0195,0.0363,0.865,76.926,audio_features,3LKnuWuy9d4G5mbd5M03Nh,spotify:track:3LKnuWuy9d4G5mbd5M03Nh,https://api.spotify.com/v1/tracks/3LKnuWuy9d4G5mbd5M03Nh,https://api.spotify.com/v1/audio-analysis/3LKnuWuy9d4G5mbd5M03Nh,218035,4
223,Mr Government,2pYMW9YR6IQIhywbfU5GRe,spotify:track:2pYMW9YR6IQIhywbfU5GRe,Peter Hunningale   ,Mr. Government,6hXbgjk3r9sW86LD1b3ihE,spotify:album:6hXbgjk3r9sW86LD1b3ihE,0.796,0.36,8,-12.155,1,0.178,0.00295,0.0,0.135,0.66,162.153,audio_features,2pYMW9YR6IQIhywbfU5GRe,spotify:track:2pYMW9YR6IQIhywbfU5GRe,https://api.spotify.com/v1/tracks/2pYMW9YR6IQIhywbfU5GRe,https://api.spotify.com/v1/audio-analysis/2pYMW9YR6IQIhywbfU5GRe,216689,4
224,My God Is Real,6A3PSrqwKKPoblFTTNGrB6,spotify:track:6A3PSrqwKKPoblFTTNGrB6,Roger Robin,Take It Slow,70CVo36Amr25kFdgFaBZMD,spotify:album:70CVo36Amr25kFdgFaBZMD,0.652,0.451,8,-7.392,1,0.0894,0.322,0.0,0.0926,0.629,81.998,audio_features,6A3PSrqwKKPoblFTTNGrB6,spotify:track:6A3PSrqwKKPoblFTTNGrB6,https://api.spotify.com/v1/tracks/6A3PSrqwKKPoblFTTNGrB6,https://api.spotify.com/v1/audio-analysis/6A3PSrqwKKPoblFTTNGrB6,242280,4
225,For Life,4opFDW7HHbUacFWixDosZc,spotify:track:4opFDW7HHbUacFWixDosZc,Roger Robin,Take It Slow,70CVo36Amr25kFdgFaBZMD,spotify:album:70CVo36Amr25kFdgFaBZMD,0.774,0.52,3,-6.962,0,0.0566,0.351,0.0,0.316,0.934,84.546,audio_features,4opFDW7HHbUacFWixDosZc,spotify:track:4opFDW7HHbUacFWixDosZc,https://api.spotify.com/v1/tracks/4opFDW7HHbUacFWixDosZc,https://api.spotify.com/v1/audio-analysis/4opFDW7HHbUacFWixDosZc,229453,4
