,track_name,artist,album,release_date,explicit,track_id,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
7cabK41l8qV5PT81s7XvaG,Be Careful,Matthew McAnuff,Be Careful,2013-07-15,False,7cabK41l8qV5PT81s7XvaG,spotify:track:7cabK41l8qV5PT81s7XvaG,0.62,0.609,8,-6.936,0,0.15,0.312,0.0,0.0866,0.811,146.11,audio_features,7cabK41l8qV5PT81s7XvaG,spotify:track:7cabK41l8qV5PT81s7XvaG,https://api.spotify.com/v1/tracks/7cabK41l8qV5PT81s7XvaG,https://api.spotify.com/v1/audio-analysis/7cabK41l8qV5PT81s7XvaG,234547,4,reggae
7cfILJJHW9ZSkbM2ywLhiN,Pressure Drop,Toots & The Maytals,Reggae Greats - Toots & The Maytals,1984-01-01,False,7cfILJJHW9ZSkbM2ywLhiN,spotify:track:7cfILJJHW9ZSkbM2ywLhiN,0.658,0.571,8,-11.972,1,0.0432,0.106,0.0,0.0286,0.985,148.964,audio_features,7cfILJJHW9ZSkbM2ywLhiN,spotify:track:7cfILJJHW9ZSkbM2ywLhiN,https://api.spotify.com/v1/tracks/7cfILJJHW9ZSkbM2ywLhiN,https://api.spotify.com/v1/audio-analysis/7cfILJJHW9ZSkbM2ywLhiN,174960,4,reggae
7cxJUcO4HTrJ2jniaKOAaw,Steppin' Out,Steel Pulse,Earth Crisis,2005-06-07,False,7cxJUcO4HTrJ2jniaKOAaw,spotify:track:7cxJUcO4HTrJ2jniaKOAaw,0.866,0.56,5,-9.848,0,0.0501,0.0574,0.0,0.0825,0.961,140.484,audio_features,7cxJUcO4HTrJ2jniaKOAaw,spotify:track:7cxJUcO4HTrJ2jniaKOAaw,https://api.spotify.com/v1/tracks/7cxJUcO4HTrJ2jniaKOAaw,https://api.spotify.com/v1/audio-analysis/7cxJUcO4HTrJ2jniaKOAaw,245787,4,reggae
7dIxOUb5q5ylvf7w0qtFZZ,Blood & Fire,Niney,Trojan Presents: Original Reggae,2011-01-01,False,7dIxOUb5q5ylvf7w0qtFZZ,spotify:track:7dIxOUb5q5ylvf7w0qtFZZ,0.784,0.493,2,-6.434,1,0.0618,0.573,0.0178,0.0695,0.853,166.376,audio_features,7dIxOUb5q5ylvf7w0qtFZZ,spotify:track:7dIxOUb5q5ylvf7w0qtFZZ,https://api.spotify.com/v1/tracks/7dIxOUb5q5ylvf7w0qtFZZ,https://api.spotify.com/v1/audio-analysis/7dIxOUb5q5ylvf7w0qtFZZ,184773,4,reggae
7dalPAviLZXp63bTc797OC,The International Herb - 2001 Digital Remaster,Culture,International Herb,1979,False,7dalPAviLZXp63bTc797OC,spotify:track:7dalPAviLZXp63bTc797OC,0.822,0.571,10,-7.529,1,0.215,0.333,0.0,0.143,0.837,127.574,audio_features,7dalPAviLZXp63bTc797OC,spotify:track:7dalPAviLZXp63bTc797OC,https://api.spotify.com/v1/tracks/7dalPAviLZXp63bTc797OC,https://api.spotify.com/v1/audio-analysis/7dalPAviLZXp63bTc797OC,200733,4,reggae
7egAxxDZTzwWUbLeTOY50e,I Want to Make It with You,Bobbie Houston,"Beach Diggin', Vol. 3",2015-07-10,False,7egAxxDZTzwWUbLeTOY50e,spotify:track:7egAxxDZTzwWUbLeTOY50e,0.669,0.669,2,-6.836,1,0.106,0.717,2.89e-05,0.194,0.671,144.025,audio_features,7egAxxDZTzwWUbLeTOY50e,spotify:track:7egAxxDZTzwWUbLeTOY50e,https://api.spotify.com/v1/tracks/7egAxxDZTzwWUbLeTOY50e,https://api.spotify.com/v1/audio-analysis/7egAxxDZTzwWUbLeTOY50e,186618,4,reggae
7eivxjw6BUxwkgTcQqyYVW,Don't Let Me Down,Marcia Griffiths,Play Me Sweet and Nice,2006-01-01,False,7eivxjw6BUxwkgTcQqyYVW,spotify:track:7eivxjw6BUxwkgTcQqyYVW,0.691,0.662,4,-10.045,1,0.053,0.404,0.00509,0.465,0.947,157.367,audio_features,7eivxjw6BUxwkgTcQqyYVW,spotify:track:7eivxjw6BUxwkgTcQqyYVW,https://api.spotify.com/v1/tracks/7eivxjw6BUxwkgTcQqyYVW,https://api.spotify.com/v1/audio-analysis/7eivxjw6BUxwkgTcQqyYVW,204533,4,reggae
7emQZRUS3C6RxuBCNDz49W,Drug Squad,Steel Pulse,Caught You,1980-10-26,False,7emQZRUS3C6RxuBCNDz49W,spotify:track:7emQZRUS3C6RxuBCNDz49W,0.775,0.355,0,-15.476,0,0.0799,0.2,9.37e-05,0.729,0.936,136.76,audio_features,7emQZRUS3C6RxuBCNDz49W,spotify:track:7emQZRUS3C6RxuBCNDz49W,https://api.spotify.com/v1/tracks/7emQZRUS3C6RxuBCNDz49W,https://api.spotify.com/v1/audio-analysis/7emQZRUS3C6RxuBCNDz49W,245200,4,reggae
7f1fBtYT7C797c6RNSG5au,Revelation Time,Max Romeo,Revelation Time (Deluxe Edition),1975-01-01,False,7f1fBtYT7C797c6RNSG5au,spotify:track:7f1fBtYT7C797c6RNSG5au,0.845,0.401,7,-13.772,1,0.262,0.0411,0.0109,0.182,0.585,138.861,audio_features,7f1fBtYT7C797c6RNSG5au,spotify:track:7f1fBtYT7C797c6RNSG5au,https://api.spotify.com/v1/tracks/7f1fBtYT7C797c6RNSG5au,https://api.spotify.com/v1/audio-analysis/7f1fBtYT7C797c6RNSG5au,170920,4,reggae
7fN1LWS1NSodfQHtbQTaRu,Money In My Pocket - 1978 Version,Dennis Brown,Money in My Pocket: The Best of Dennis Brown,2011-03-07,False,7fN1LWS1NSodfQHtbQTaRu,spotify:track:7fN1LWS1NSodfQHtbQTaRu,0.725,0.541,2,-8.866,1,0.0528,0.00336,2.57e-05,0.0768,0.83,138.272,audio_features,7fN1LWS1NSodfQHtbQTaRu,spotify:track:7fN1LWS1NSodfQHtbQTaRu,https://api.spotify.com/v1/tracks/7fN1LWS1NSodfQHtbQTaRu,https://api.spotify.com/v1/audio-analysis/7fN1LWS1NSodfQHtbQTaRu,231093,4,reggae
