,track_name,artist,album,release_date,explicit,track_id,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
1qVPIzRyrImMAg3NIS8c8P,Roots Train,Junior Murvin,Police & Thieves,1977-01-01,False,1qVPIzRyrImMAg3NIS8c8P,spotify:track:1qVPIzRyrImMAg3NIS8c8P,0.87,0.443,7,-11.572,1,0.0811,0.0408,0.17,0.296,0.971,127.74,audio_features,1qVPIzRyrImMAg3NIS8c8P,spotify:track:1qVPIzRyrImMAg3NIS8c8P,https://api.spotify.com/v1/tracks/1qVPIzRyrImMAg3NIS8c8P,https://api.spotify.com/v1/audio-analysis/1qVPIzRyrImMAg3NIS8c8P,223024,4,reggae
1qWZdkBl4UVPj9lK6HuuFM,Burning Fire,Jr Thomas & The Volcanos,Beware,2015-09-18,False,1qWZdkBl4UVPj9lK6HuuFM,spotify:track:1qWZdkBl4UVPj9lK6HuuFM,0.785,0.683,4,-6.944,0,0.0337,0.0329,0.00088,0.237,0.969,113.83,audio_features,1qWZdkBl4UVPj9lK6HuuFM,spotify:track:1qWZdkBl4UVPj9lK6HuuFM,https://api.spotify.com/v1/tracks/1qWZdkBl4UVPj9lK6HuuFM,https://api.spotify.com/v1/audio-analysis/1qWZdkBl4UVPj9lK6HuuFM,282447,4,reggae
1qfhwIlE0i9aVoQpSPmBFP,I'll Be All Yours,Fiji,Indigenous Life,2008-09-09,False,1qfhwIlE0i9aVoQpSPmBFP,spotify:track:1qfhwIlE0i9aVoQpSPmBFP,0.519,0.643,7,-6.536,1,0.0882,0.389,0.0,0.109,0.726,78.537,audio_features,1qfhwIlE0i9aVoQpSPmBFP,spotify:track:1qfhwIlE0i9aVoQpSPmBFP,https://api.spotify.com/v1/tracks/1qfhwIlE0i9aVoQpSPmBFP,https://api.spotify.com/v1/audio-analysis/1qfhwIlE0i9aVoQpSPmBFP,247867,4,reggae
1rAAub2bS5jlu1FBwROU3K,Kaya,Bob Marley & The Wailers,Kaya - Deluxe Edition,1978-03-23,False,1rAAub2bS5jlu1FBwROU3K,spotify:track:1rAAub2bS5jlu1FBwROU3K,0.813,0.522,11,-11.376,1,0.0619,0.00637,2.61e-05,0.0634,0.868,97.647,audio_features,1rAAub2bS5jlu1FBwROU3K,spotify:track:1rAAub2bS5jlu1FBwROU3K,https://api.spotify.com/v1/tracks/1rAAub2bS5jlu1FBwROU3K,https://api.spotify.com/v1/audio-analysis/1rAAub2bS5jlu1FBwROU3K,195880,4,reggae
1rBALduosys0NqmfYu6WEZ,Rock On,Gregory Isaacs,The Best of Gregory Isaacs,2017-02-24,False,1rBALduosys0NqmfYu6WEZ,spotify:track:1rBALduosys0NqmfYu6WEZ,0.778,0.372,7,-11.814,1,0.232,0.183,1.83e-05,0.099,0.596,136.575,audio_features,1rBALduosys0NqmfYu6WEZ,spotify:track:1rBALduosys0NqmfYu6WEZ,https://api.spotify.com/v1/tracks/1rBALduosys0NqmfYu6WEZ,https://api.spotify.com/v1/audio-analysis/1rBALduosys0NqmfYu6WEZ,156587,4,reggae
1saHtxaqY3zZBRzvILJpkd,I Shall Be Released,The Heptones,Nightfood Ina Party Time,2017-06-02,False,1saHtxaqY3zZBRzvILJpkd,spotify:track:1saHtxaqY3zZBRzvILJpkd,0.764,0.372,10,-12.632,1,0.0426,0.00224,0.0,0.0552,0.771,136.894,audio_features,1saHtxaqY3zZBRzvILJpkd,spotify:track:1saHtxaqY3zZBRzvILJpkd,https://api.spotify.com/v1/tracks/1saHtxaqY3zZBRzvILJpkd,https://api.spotify.com/v1/audio-analysis/1saHtxaqY3zZBRzvILJpkd,284893,4,reggae
1tFxOYQywAjGpb54gPaKkA,Sodom and Gomorrow - Original Black Ark Mix,The Congos,Heart Of The Congos (40th Anniversary Edition),1977-03-07,False,1tFxOYQywAjGpb54gPaKkA,spotify:track:1tFxOYQywAjGpb54gPaKkA,0.812,0.668,0,-8.934,1,0.0395,0.0421,0.00111,0.0876,0.945,122.809,audio_features,1tFxOYQywAjGpb54gPaKkA,spotify:track:1tFxOYQywAjGpb54gPaKkA,https://api.spotify.com/v1/tracks/1tFxOYQywAjGpb54gPaKkA,https://api.spotify.com/v1/audio-analysis/1tFxOYQywAjGpb54gPaKkA,315600,4,reggae
1tVO3crNb2rnusGtBYBP3k,Hypocrites,Barrington Levy,RAS Portraits,1997,False,1tVO3crNb2rnusGtBYBP3k,spotify:track:1tVO3crNb2rnusGtBYBP3k,0.792,0.477,2,-11.327,0,0.0896,0.12,0.00283,0.09,0.827,78.525,audio_features,1tVO3crNb2rnusGtBYBP3k,spotify:track:1tVO3crNb2rnusGtBYBP3k,https://api.spotify.com/v1/tracks/1tVO3crNb2rnusGtBYBP3k,https://api.spotify.com/v1/audio-analysis/1tVO3crNb2rnusGtBYBP3k,311733,4,reggae
1tlwBw3PpI8IqO3Int856j,Spliffed,The B Foundation,Trouble Standing,2006-01-01,False,1tlwBw3PpI8IqO3Int856j,spotify:track:1tlwBw3PpI8IqO3Int856j,0.547,0.86,2,-3.788,1,0.0596,0.00665,0.0,0.382,0.565,144.973,audio_features,1tlwBw3PpI8IqO3Int856j,spotify:track:1tlwBw3PpI8IqO3Int856j,https://api.spotify.com/v1/tracks/1tlwBw3PpI8IqO3Int856j,https://api.spotify.com/v1/audio-analysis/1tlwBw3PpI8IqO3Int856j,202507,4,reggae
1tvxlOreavjvoZ3BaliKTz,Ranking Full Stop,The Beat,Hard to Beat,2017-07-28,False,1tvxlOreavjvoZ3BaliKTz,spotify:track:1tvxlOreavjvoZ3BaliKTz,0.75,0.868,7,-6.856,1,0.053,0.0228,0.000762,0.0246,0.985,157.149,audio_features,1tvxlOreavjvoZ3BaliKTz,spotify:track:1tvxlOreavjvoZ3BaliKTz,https://api.spotify.com/v1/tracks/1tvxlOreavjvoZ3BaliKTz,https://api.spotify.com/v1/audio-analysis/1tvxlOreavjvoZ3BaliKTz,169013,4,reggae
1tyyxxc1AG5k4nxyJI8nOb,Side Show,Barry Biggs,Reggae Max: Barry Biggs,2007-01-01,False,1tyyxxc1AG5k4nxyJI8nOb,spotify:track:1tyyxxc1AG5k4nxyJI8nOb,0.633,0.689,7,-6.716,1,0.0292,0.381,0.0,0.128,0.669,151.32,audio_features,1tyyxxc1AG5k4nxyJI8nOb,spotify:track:1tyyxxc1AG5k4nxyJI8nOb,https://api.spotify.com/v1/tracks/1tyyxxc1AG5k4nxyJI8nOb,https://api.spotify.com/v1/audio-analysis/1tyyxxc1AG5k4nxyJI8nOb,231840,4,reggae
1u8fjvKyDliY5IXuJxDccK,Burn One,Fortunate Youth,Up-Lifted EP,2010-01-08,False,1u8fjvKyDliY5IXuJxDccK,spotify:track:1u8fjvKyDliY5IXuJxDccK,0.876,0.727,10,-4.106,0,0.069,0.0995,3.45e-05,0.113,0.938,140.19,audio_features,1u8fjvKyDliY5IXuJxDccK,spotify:track:1u8fjvKyDliY5IXuJxDccK,https://api.spotify.com/v1/tracks/1u8fjvKyDliY5IXuJxDccK,https://api.spotify.com/v1/audio-analysis/1u8fjvKyDliY5IXuJxDccK,199427,4,reggae
1u8fjvKyDliY5IXuJxDccK,Burn One,Fortunate Youth,Up-Lifted EP,2010-01-08,False,1u8fjvKyDliY5IXuJxDccK,spotify:track:1u8fjvKyDliY5IXuJxDccK,0.876,0.727,10,-4.106,0,0.069,0.0995,3.45e-05,0.113,0.938,140.19,audio_features,1u8fjvKyDliY5IXuJxDccK,spotify:track:1u8fjvKyDliY5IXuJxDccK,https://api.spotify.com/v1/tracks/1u8fjvKyDliY5IXuJxDccK,https://api.spotify.com/v1/audio-analysis/1u8fjvKyDliY5IXuJxDccK,199427,4,reggae
1u8fjvKyDliY5IXuJxDccK,Burn One,Fortunate Youth,Up-Lifted EP,2010-01-08,False,1u8fjvKyDliY5IXuJxDccK,spotify:track:1u8fjvKyDliY5IXuJxDccK,0.876,0.727,10,-4.106,0,0.069,0.0995,3.45e-05,0.113,0.938,140.19,audio_features,1u8fjvKyDliY5IXuJxDccK,spotify:track:1u8fjvKyDliY5IXuJxDccK,https://api.spotify.com/v1/tracks/1u8fjvKyDliY5IXuJxDccK,https://api.spotify.com/v1/audio-analysis/1u8fjvKyDliY5IXuJxDccK,199427,4,reggae
1u8fjvKyDliY5IXuJxDccK,Burn One,Fortunate Youth,Up-Lifted EP,2010-01-08,False,1u8fjvKyDliY5IXuJxDccK,spotify:track:1u8fjvKyDliY5IXuJxDccK,0.876,0.727,10,-4.106,0,0.069,0.0995,3.45e-05,0.113,0.938,140.19,audio_features,1u8fjvKyDliY5IXuJxDccK,spotify:track:1u8fjvKyDliY5IXuJxDccK,https://api.spotify.com/v1/tracks/1u8fjvKyDliY5IXuJxDccK,https://api.spotify.com/v1/audio-analysis/1u8fjvKyDliY5IXuJxDccK,199427,4,reggae
1uU3I51QM7KKqGkizLYU52,If You Want It,Slightly Stoopid,"Everyday Life, Everyday People",2018-07-13,False,1uU3I51QM7KKqGkizLYU52,spotify:track:1uU3I51QM7KKqGkizLYU52,0.565,0.875,2,-5.905,0,0.0458,0.1,0.000325,0.244,0.891,155.546,audio_features,1uU3I51QM7KKqGkizLYU52,spotify:track:1uU3I51QM7KKqGkizLYU52,https://api.spotify.com/v1/tracks/1uU3I51QM7KKqGkizLYU52,https://api.spotify.com/v1/audio-analysis/1uU3I51QM7KKqGkizLYU52,241307,4,reggae
1us8GCy7q06J3M7I1DKjxa,"Burning And Looting - Live At The Lyceum, London/July 18,1975",Bob Marley & The Wailers,Live! (Deluxe Edition),1975-12-05,False,1us8GCy7q06J3M7I1DKjxa,spotify:track:1us8GCy7q06J3M7I1DKjxa,0.473,0.656,9,-12.778,0,0.0794,0.425,7.03e-06,0.74,0.894,149.8,audio_features,1us8GCy7q06J3M7I1DKjxa,spotify:track:1us8GCy7q06J3M7I1DKjxa,https://api.spotify.com/v1/tracks/1us8GCy7q06J3M7I1DKjxa,https://api.spotify.com/v1/audio-analysis/1us8GCy7q06J3M7I1DKjxa,296526,4,reggae
1vaISgGlk83AZLeDbtx52D,Jah Golden Pen,Sylford Walker,Reggae Anthology: Joe Gibbs - Scorchers From The Mighty Two,2009-03-30,False,1vaISgGlk83AZLeDbtx52D,spotify:track:1vaISgGlk83AZLeDbtx52D,0.887,0.505,1,-11.382,1,0.0583,0.00112,0.0778,0.086,0.821,124.435,audio_features,1vaISgGlk83AZLeDbtx52D,spotify:track:1vaISgGlk83AZLeDbtx52D,https://api.spotify.com/v1/tracks/1vaISgGlk83AZLeDbtx52D,https://api.spotify.com/v1/audio-analysis/1vaISgGlk83AZLeDbtx52D,203427,4,reggae
1vgMBiyUCO2CcmOKiTqdkv,World A Music,Ini Kamoze,Sly And Robbie Presents Ini Kamoze,2002-01-01,False,1vgMBiyUCO2CcmOKiTqdkv,spotify:track:1vgMBiyUCO2CcmOKiTqdkv,0.874,0.492,6,-7.752,0,0.139,0.0111,0.00801,0.0481,0.357,74.083,audio_features,1vgMBiyUCO2CcmOKiTqdkv,spotify:track:1vgMBiyUCO2CcmOKiTqdkv,https://api.spotify.com/v1/tracks/1vgMBiyUCO2CcmOKiTqdkv,https://api.spotify.com/v1/audio-analysis/1vgMBiyUCO2CcmOKiTqdkv,345493,4,reggae
1vl5jVbo2INarbfx43KHjH,Cool and Calm,Israel Vibration,Cool and Calm,2012-04-04,False,1vl5jVbo2INarbfx43KHjH,spotify:track:1vl5jVbo2INarbfx43KHjH,0.794,0.399,0,-11.516,1,0.174,0.161,7.09e-06,0.0475,0.839,76.374,audio_features,1vl5jVbo2INarbfx43KHjH,spotify:track:1vl5jVbo2INarbfx43KHjH,https://api.spotify.com/v1/tracks/1vl5jVbo2INarbfx43KHjH,https://api.spotify.com/v1/audio-analysis/1vl5jVbo2INarbfx43KHjH,267401,4,reggae
1w3HCdSYm4vO7yrU2abcH2,Race Is Run,The Expanders,The Expanders,2011-03-22,False,1w3HCdSYm4vO7yrU2abcH2,spotify:track:1w3HCdSYm4vO7yrU2abcH2,0.874,0.415,2,-7.648,1,0.0502,0.181,0.000223,0.0402,0.965,134.528,audio_features,1w3HCdSYm4vO7yrU2abcH2,spotify:track:1w3HCdSYm4vO7yrU2abcH2,https://api.spotify.com/v1/tracks/1w3HCdSYm4vO7yrU2abcH2,https://api.spotify.com/v1/audio-analysis/1w3HCdSYm4vO7yrU2abcH2,238573,4,reggae
1xAsz1aoiphFkYSREvR9y1,Hearsay - 1990 Digital Remaster,The Gladiators,Dreadlocks The Time Is Now,1990-01-01,False,1xAsz1aoiphFkYSREvR9y1,spotify:track:1xAsz1aoiphFkYSREvR9y1,0.83,0.406,4,-11.616,0,0.362,0.0543,1.21e-06,0.083,0.733,82.381,audio_features,1xAsz1aoiphFkYSREvR9y1,spotify:track:1xAsz1aoiphFkYSREvR9y1,https://api.spotify.com/v1/tracks/1xAsz1aoiphFkYSREvR9y1,https://api.spotify.com/v1/audio-analysis/1xAsz1aoiphFkYSREvR9y1,186960,4,reggae
1yC2n0cfsyIASjIKD0EZ3H,Apparition,Rx Bandits,…And The Battle Begun,2006-08-08,False,1yC2n0cfsyIASjIKD0EZ3H,spotify:track:1yC2n0cfsyIASjIKD0EZ3H,0.586,0.818,0,-6.207,0,0.0404,0.211,0.0,0.0967,0.736,137.771,audio_features,1yC2n0cfsyIASjIKD0EZ3H,spotify:track:1yC2n0cfsyIASjIKD0EZ3H,https://api.spotify.com/v1/tracks/1yC2n0cfsyIASjIKD0EZ3H,https://api.spotify.com/v1/audio-analysis/1yC2n0cfsyIASjIKD0EZ3H,219133,4,reggae
1yDEFW9WSz1JqaoK2gJGPx,Your Teeth In My Neck,Scientist,The Scientist Rids the World of the Evil Curse of The Intergalactic Vampire,2010-04-09,True,1yDEFW9WSz1JqaoK2gJGPx,spotify:track:1yDEFW9WSz1JqaoK2gJGPx,0.813,0.236,1,-19.583,0,0.293,0.0284,0.00671,0.0977,0.523,146.564,audio_features,1yDEFW9WSz1JqaoK2gJGPx,spotify:track:1yDEFW9WSz1JqaoK2gJGPx,https://api.spotify.com/v1/tracks/1yDEFW9WSz1JqaoK2gJGPx,https://api.spotify.com/v1/audio-analysis/1yDEFW9WSz1JqaoK2gJGPx,281887,4,reggae
1yDEFW9WSz1JqaoK2gJGPx,Your Teeth In My Neck,Scientist,The Scientist Rids the World of the Evil Curse of The Intergalactic Vampire,2010-04-09,True,1yDEFW9WSz1JqaoK2gJGPx,spotify:track:1yDEFW9WSz1JqaoK2gJGPx,0.813,0.236,1,-19.583,0,0.293,0.0284,0.00671,0.0977,0.523,146.564,audio_features,1yDEFW9WSz1JqaoK2gJGPx,spotify:track:1yDEFW9WSz1JqaoK2gJGPx,https://api.spotify.com/v1/tracks/1yDEFW9WSz1JqaoK2gJGPx,https://api.spotify.com/v1/audio-analysis/1yDEFW9WSz1JqaoK2gJGPx,281887,4,reggae
1yDEFW9WSz1JqaoK2gJGPx,Your Teeth In My Neck,Scientist,The Scientist Rids the World of the Evil Curse of The Intergalactic Vampire,2010-04-09,True,1yDEFW9WSz1JqaoK2gJGPx,spotify:track:1yDEFW9WSz1JqaoK2gJGPx,0.813,0.236,1,-19.583,0,0.293,0.0284,0.00671,0.0977,0.523,146.564,audio_features,1yDEFW9WSz1JqaoK2gJGPx,spotify:track:1yDEFW9WSz1JqaoK2gJGPx,https://api.spotify.com/v1/tracks/1yDEFW9WSz1JqaoK2gJGPx,https://api.spotify.com/v1/audio-analysis/1yDEFW9WSz1JqaoK2gJGPx,281887,4,reggae
1yDEFW9WSz1JqaoK2gJGPx,Your Teeth In My Neck,Scientist,The Scientist Rids the World of the Evil Curse of The Intergalactic Vampire,2010-04-09,True,1yDEFW9WSz1JqaoK2gJGPx,spotify:track:1yDEFW9WSz1JqaoK2gJGPx,0.813,0.236,1,-19.583,0,0.293,0.0284,0.00671,0.0977,0.523,146.564,audio_features,1yDEFW9WSz1JqaoK2gJGPx,spotify:track:1yDEFW9WSz1JqaoK2gJGPx,https://api.spotify.com/v1/tracks/1yDEFW9WSz1JqaoK2gJGPx,https://api.spotify.com/v1/audio-analysis/1yDEFW9WSz1JqaoK2gJGPx,281887,4,reggae
1yIztnOrc8mKrEQN74GOEg,Why Music I,The Heptones,Nightfood Ina Party Time,2017-06-02,False,1yIztnOrc8mKrEQN74GOEg,spotify:track:1yIztnOrc8mKrEQN74GOEg,0.767,0.37,4,-12.664,0,0.0584,0.0811,0.0,0.0645,0.758,141.844,audio_features,1yIztnOrc8mKrEQN74GOEg,spotify:track:1yIztnOrc8mKrEQN74GOEg,https://api.spotify.com/v1/tracks/1yIztnOrc8mKrEQN74GOEg,https://api.spotify.com/v1/audio-analysis/1yIztnOrc8mKrEQN74GOEg,291867,4,reggae
1yY9KKrsCOe5DUDstpvYke,True Love,SOJA,Peace In A Time Of War,2002-06-05,False,1yY9KKrsCOe5DUDstpvYke,spotify:track:1yY9KKrsCOe5DUDstpvYke,0.86,0.408,6,-8.841,0,0.0532,0.203,0.0,0.103,0.53,116.831,audio_features,1yY9KKrsCOe5DUDstpvYke,spotify:track:1yY9KKrsCOe5DUDstpvYke,https://api.spotify.com/v1/tracks/1yY9KKrsCOe5DUDstpvYke,https://api.spotify.com/v1/audio-analysis/1yY9KKrsCOe5DUDstpvYke,256733,4,reggae
1zCgE3fRaJrhWqYFhsF1rI,Stealing Love,Carlene Davis,"Big People Music, Vol. 3",1997-01-01,False,1zCgE3fRaJrhWqYFhsF1rI,spotify:track:1zCgE3fRaJrhWqYFhsF1rI,0.729,0.547,0,-12.248,1,0.195,0.0418,0.0,0.277,0.839,80.37,audio_features,1zCgE3fRaJrhWqYFhsF1rI,spotify:track:1zCgE3fRaJrhWqYFhsF1rI,https://api.spotify.com/v1/tracks/1zCgE3fRaJrhWqYFhsF1rI,https://api.spotify.com/v1/audio-analysis/1zCgE3fRaJrhWqYFhsF1rI,274533,4,reggae
1zO9fRLEc7vqkjGtPhZtPN,Spark It,Quantic,Magnetica,2014-05-05,False,1zO9fRLEc7vqkjGtPhZtPN,spotify:track:1zO9fRLEc7vqkjGtPhZtPN,0.806,0.737,1,-9.796,1,0.233,0.0157,2.75e-05,0.122,0.894,174.405,audio_features,1zO9fRLEc7vqkjGtPhZtPN,spotify:track:1zO9fRLEc7vqkjGtPhZtPN,https://api.spotify.com/v1/tracks/1zO9fRLEc7vqkjGtPhZtPN,https://api.spotify.com/v1/audio-analysis/1zO9fRLEc7vqkjGtPhZtPN,327333,4,reggae
1zZx7FiREYOB1Ejz4VWPAV,Crazy Baldhead / Running Away - Live,Bob Marley & The Wailers,Exodus,1977-01-01,False,1zZx7FiREYOB1Ejz4VWPAV,spotify:track:1zZx7FiREYOB1Ejz4VWPAV,0.795,0.544,6,-9.613,0,0.161,0.392,0.000944,0.69,0.796,132.858,audio_features,1zZx7FiREYOB1Ejz4VWPAV,spotify:track:1zZx7FiREYOB1Ejz4VWPAV,https://api.spotify.com/v1/tracks/1zZx7FiREYOB1Ejz4VWPAV,https://api.spotify.com/v1/audio-analysis/1zZx7FiREYOB1Ejz4VWPAV,561598,4,reggae
1znrKNThYa29VQEkVrlXqQ,Lorna Banana,Junior Byles,Jordan,1976-01-06,False,1znrKNThYa29VQEkVrlXqQ,spotify:track:1znrKNThYa29VQEkVrlXqQ,0.768,0.467,2,-13.004,1,0.129,0.00222,0.00396,0.0639,0.964,153.217,audio_features,1znrKNThYa29VQEkVrlXqQ,spotify:track:1znrKNThYa29VQEkVrlXqQ,https://api.spotify.com/v1/tracks/1znrKNThYa29VQEkVrlXqQ,https://api.spotify.com/v1/audio-analysis/1znrKNThYa29VQEkVrlXqQ,210160,4,reggae
1zqnTdvJTdbFgENH6Xw291,Wild Like A Tiger,Eek-A-Mouse,Most Wanted - Eek A Mouse,2008,False,1zqnTdvJTdbFgENH6Xw291,spotify:track:1zqnTdvJTdbFgENH6Xw291,0.8,0.456,7,-9.295,1,0.109,0.11,0.0391,0.107,0.634,136.408,audio_features,1zqnTdvJTdbFgENH6Xw291,spotify:track:1zqnTdvJTdbFgENH6Xw291,https://api.spotify.com/v1/tracks/1zqnTdvJTdbFgENH6Xw291,https://api.spotify.com/v1/audio-analysis/1zqnTdvJTdbFgENH6Xw291,357573,4,reggae
1zqnTdvJTdbFgENH6Xw291,Wild Like A Tiger,Eek-A-Mouse,Most Wanted - Eek A Mouse,2008,False,1zqnTdvJTdbFgENH6Xw291,spotify:track:1zqnTdvJTdbFgENH6Xw291,0.8,0.456,7,-9.295,1,0.109,0.11,0.0391,0.107,0.634,136.408,audio_features,1zqnTdvJTdbFgENH6Xw291,spotify:track:1zqnTdvJTdbFgENH6Xw291,https://api.spotify.com/v1/tracks/1zqnTdvJTdbFgENH6Xw291,https://api.spotify.com/v1/audio-analysis/1zqnTdvJTdbFgENH6Xw291,357573,4,reggae
1zqnTdvJTdbFgENH6Xw291,Wild Like A Tiger,Eek-A-Mouse,Most Wanted - Eek A Mouse,2008,False,1zqnTdvJTdbFgENH6Xw291,spotify:track:1zqnTdvJTdbFgENH6Xw291,0.8,0.456,7,-9.295,1,0.109,0.11,0.0391,0.107,0.634,136.408,audio_features,1zqnTdvJTdbFgENH6Xw291,spotify:track:1zqnTdvJTdbFgENH6Xw291,https://api.spotify.com/v1/tracks/1zqnTdvJTdbFgENH6Xw291,https://api.spotify.com/v1/audio-analysis/1zqnTdvJTdbFgENH6Xw291,357573,4,reggae
1zqnTdvJTdbFgENH6Xw291,Wild Like A Tiger,Eek-A-Mouse,Most Wanted - Eek A Mouse,2008,False,1zqnTdvJTdbFgENH6Xw291,spotify:track:1zqnTdvJTdbFgENH6Xw291,0.8,0.456,7,-9.295,1,0.109,0.11,0.0391,0.107,0.634,136.408,audio_features,1zqnTdvJTdbFgENH6Xw291,spotify:track:1zqnTdvJTdbFgENH6Xw291,https://api.spotify.com/v1/tracks/1zqnTdvJTdbFgENH6Xw291,https://api.spotify.com/v1/audio-analysis/1zqnTdvJTdbFgENH6Xw291,357573,4,reggae
20Ayj8kJbJP2ARdVgNiu3E,Nelby Shelson (Love Song),Vibe Corp.,Orientation,2017-07-16,False,20Ayj8kJbJP2ARdVgNiu3E,spotify:track:20Ayj8kJbJP2ARdVgNiu3E,0.572,0.824,6,-4.97,0,0.137,0.189,0.0,0.0809,0.8,109.733,audio_features,20Ayj8kJbJP2ARdVgNiu3E,spotify:track:20Ayj8kJbJP2ARdVgNiu3E,https://api.spotify.com/v1/tracks/20Ayj8kJbJP2ARdVgNiu3E,https://api.spotify.com/v1/audio-analysis/20Ayj8kJbJP2ARdVgNiu3E,258006,4,reggae
20Bvivo3wag6ZUqs4ztrbG,I Do Love You,Janet Kay,"The Best of Original British Lovers Rock, Vol. 1",2007-12-19,False,20Bvivo3wag6ZUqs4ztrbG,spotify:track:20Bvivo3wag6ZUqs4ztrbG,0.69,0.551,5,-6.866,1,0.0332,0.102,0.0,0.0832,0.88,142.243,audio_features,20Bvivo3wag6ZUqs4ztrbG,spotify:track:20Bvivo3wag6ZUqs4ztrbG,https://api.spotify.com/v1/tracks/20Bvivo3wag6ZUqs4ztrbG,https://api.spotify.com/v1/audio-analysis/20Bvivo3wag6ZUqs4ztrbG,202787,4,reggae
20FALbcIAK2qmy1qYqCOdL,Party Time,The Heptones,Nightfood Ina Party Time,2017-06-02,False,20FALbcIAK2qmy1qYqCOdL,spotify:track:20FALbcIAK2qmy1qYqCOdL,0.815,0.484,0,-11.905,1,0.0467,0.00268,0.0,0.257,0.839,134.076,audio_features,20FALbcIAK2qmy1qYqCOdL,spotify:track:20FALbcIAK2qmy1qYqCOdL,https://api.spotify.com/v1/tracks/20FALbcIAK2qmy1qYqCOdL,https://api.spotify.com/v1/audio-analysis/20FALbcIAK2qmy1qYqCOdL,244760,4,reggae
21dOjdraFZffs2lnQObaiZ,Redemption Song,Bob Marley & The Wailers,Uprising,1980,False,21dOjdraFZffs2lnQObaiZ,spotify:track:21dOjdraFZffs2lnQObaiZ,0.671,0.256,7,-10.743,1,0.0387,0.608,0.0,0.0737,0.694,115.871,audio_features,21dOjdraFZffs2lnQObaiZ,spotify:track:21dOjdraFZffs2lnQObaiZ,https://api.spotify.com/v1/tracks/21dOjdraFZffs2lnQObaiZ,https://api.spotify.com/v1/audio-analysis/21dOjdraFZffs2lnQObaiZ,233560,4,reggae
22qi4u4h6vD4ksMLarmc1U,Seba Allah Y'e,Alpha Blondy,Apartheid Is Nazism,2010-08-06,False,22qi4u4h6vD4ksMLarmc1U,spotify:track:22qi4u4h6vD4ksMLarmc1U,0.706,0.84,10,-5.818,0,0.0725,0.238,0.0,0.0737,0.883,172.02,audio_features,22qi4u4h6vD4ksMLarmc1U,spotify:track:22qi4u4h6vD4ksMLarmc1U,https://api.spotify.com/v1/tracks/22qi4u4h6vD4ksMLarmc1U,https://api.spotify.com/v1/audio-analysis/22qi4u4h6vD4ksMLarmc1U,284027,4,reggae
23GuZ9crtV50nrB4XuiF7E,Throne Of Gold,Steel Pulse,Earth Crisis,2005-06-07,False,23GuZ9crtV50nrB4XuiF7E,spotify:track:23GuZ9crtV50nrB4XuiF7E,0.77,0.556,4,-11.033,1,0.0575,0.0927,0.0,0.0713,0.837,78.052,audio_features,23GuZ9crtV50nrB4XuiF7E,spotify:track:23GuZ9crtV50nrB4XuiF7E,https://api.spotify.com/v1/tracks/23GuZ9crtV50nrB4XuiF7E,https://api.spotify.com/v1/audio-analysis/23GuZ9crtV50nrB4XuiF7E,268707,4,reggae
23cnUxyZzxek9esuoRTbGE,Perigosa,Kussondulola,Tá-Se Bem,1995-07-25,False,23cnUxyZzxek9esuoRTbGE,spotify:track:23cnUxyZzxek9esuoRTbGE,0.885,0.629,11,-9.2,0,0.219,0.0308,0.0,0.111,0.847,154.027,audio_features,23cnUxyZzxek9esuoRTbGE,spotify:track:23cnUxyZzxek9esuoRTbGE,https://api.spotify.com/v1/tracks/23cnUxyZzxek9esuoRTbGE,https://api.spotify.com/v1/audio-analysis/23cnUxyZzxek9esuoRTbGE,207000,4,reggae
24RqLyY2w1QDZ3GJJ4xgrj,House Of The Rising Sun,Gregory Isaacs,Pardon Me,1992-01-01,False,24RqLyY2w1QDZ3GJJ4xgrj,spotify:track:24RqLyY2w1QDZ3GJJ4xgrj,0.861,0.217,7,-15.112,0,0.342,0.353,0.0181,0.117,0.592,75.656,audio_features,24RqLyY2w1QDZ3GJJ4xgrj,spotify:track:24RqLyY2w1QDZ3GJJ4xgrj,https://api.spotify.com/v1/tracks/24RqLyY2w1QDZ3GJJ4xgrj,https://api.spotify.com/v1/audio-analysis/24RqLyY2w1QDZ3GJJ4xgrj,303267,4,reggae
24TZGRn1eKFs6cqZyU157R,Dreadlock Talking,"Lee ""Scratch"" Perry",Revolution Dub,1975,False,24TZGRn1eKFs6cqZyU157R,spotify:track:24TZGRn1eKFs6cqZyU157R,0.867,0.354,2,-9.519,1,0.06,0.079,0.0676,0.0982,0.642,69.294,audio_features,24TZGRn1eKFs6cqZyU157R,spotify:track:24TZGRn1eKFs6cqZyU157R,https://api.spotify.com/v1/tracks/24TZGRn1eKFs6cqZyU157R,https://api.spotify.com/v1/audio-analysis/24TZGRn1eKFs6cqZyU157R,202320,4,reggae
